n_estimators,max_depth,max_features,min_impurity_decrease,score
100,15,24,0.001,0.9802777777777778
25,20,30,0.001,0.9797222222222223
100,25,24,0.001,0.9797222222222223
100,20,24,0.001,0.9797222222222223
25,30,30,0.001,0.9797222222222223
25,25,30,0.001,0.9797222222222223
100,30,24,0.001,0.9797222222222223
50,30,24,0.001,0.9794444444444445
25,15,30,0.001,0.9794444444444445
50,25,24,0.001,0.9794444444444445
50,20,24,0.001,0.9794444444444445
50,15,24,0.001,0.9788888888888889
150,15,24,0.001,0.9783333333333334
50,25,30,0.001,0.9780555555555556
50,15,30,0.001,0.9780555555555556
25,30,24,0.001,0.9780555555555556
25,20,24,0.001,0.9780555555555556
50,20,30,0.001,0.9780555555555556
50,30,30,0.001,0.9780555555555556
25,15,24,0.001,0.9780555555555556
25,25,24,0.001,0.9780555555555556
250,25,30,0.001,0.9777777777777777
200,25,24,0.001,0.9777777777777777
150,25,24,0.001,0.9777777777777777
150,20,24,0.001,0.9777777777777777
250,15,30,0.001,0.9777777777777777
200,20,24,0.001,0.9777777777777777
150,30,24,0.001,0.9777777777777777
250,20,30,0.001,0.9777777777777777
250,30,30,0.001,0.9777777777777777
200,30,24,0.001,0.9777777777777777
100,15,30,0.001,0.9777777777777777
200,15,24,0.001,0.9775
150,20,30,0.001,0.9775
150,30,30,0.001,0.9775
150,15,30,0.001,0.9775
150,25,30,0.001,0.9775
250,15,24,0.001,0.9775
200,30,30,0.001,0.9772222222222222
250,25,24,0.001,0.9772222222222222
250,30,24,0.001,0.9772222222222222
200,25,30,0.001,0.9772222222222222
200,15,30,0.001,0.9772222222222222
250,20,24,0.001,0.9772222222222222
25,30,12,0.001,0.9772222222222222
250,25,38,0.001,0.9772222222222222
25,25,12,0.001,0.9772222222222222
250,20,38,0.001,0.9772222222222222
25,20,12,0.001,0.9772222222222222
200,20,30,0.001,0.9772222222222222
250,30,38,0.001,0.9772222222222222
100,25,30,0.001,0.9769444444444444
100,20,30,0.001,0.9769444444444444
100,30,30,0.001,0.9769444444444444
250,15,38,0.001,0.9769444444444444
100,20,38,0.001,0.9766666666666667
200,20,38,0.001,0.9766666666666667
100,25,38,0.001,0.9766666666666667
200,25,38,0.001,0.9766666666666667
200,30,38,0.001,0.9766666666666667
100,15,38,0.001,0.9766666666666667
100,30,38,0.001,0.9766666666666667
25,15,12,0.001,0.9766666666666667
150,20,12,0.001,0.9763888888888889
200,15,38,0.001,0.9763888888888889
100,20,12,0.001,0.9763888888888889
250,20,12,0.001,0.9763888888888889
250,30,12,0.001,0.9763888888888889
100,30,12,0.001,0.9763888888888889
250,25,12,0.001,0.9763888888888889
150,25,12,0.001,0.9763888888888889
100,25,12,0.001,0.9763888888888889
150,30,12,0.001,0.9763888888888889
200,30,12,0.001,0.9761111111111112
150,15,38,0.001,0.9761111111111112
150,25,38,0.001,0.9761111111111112
200,25,12,0.001,0.9761111111111112
200,20,12,0.001,0.9761111111111112
150,20,38,0.001,0.9761111111111112
150,30,38,0.001,0.9761111111111112
25,10,30,0.001,0.9761111111111112
200,15,12,0.001,0.9758333333333333
150,15,12,0.001,0.9758333333333333
100,15,12,0.001,0.9758333333333333
50,15,12,0.001,0.9755555555555555
50,10,24,0.001,0.9755555555555555
250,15,12,0.001,0.9752777777777778
50,20,12,0.001,0.9752777777777778
50,25,12,0.001,0.9752777777777778
50,30,12,0.001,0.9752777777777778
25,10,24,0.001,0.975
25,30,38,0.001,0.975
25,15,38,0.001,0.975
150,10,24,0.001,0.975
25,25,38,0.001,0.975
25,20,38,0.001,0.975
250,10,24,0.001,0.9744444444444444
50,30,38,0.001,0.9744444444444444
100,10,30,0.001,0.9744444444444444
50,20,38,0.001,0.9744444444444444
200,10,24,0.001,0.9744444444444444
50,25,38,0.001,0.9744444444444444
100,10,24,0.001,0.9744444444444444
50,15,38,0.001,0.9744444444444444
50,10,30,0.001,0.9741666666666666
200,10,38,0.001,0.9741666666666666
150,10,30,0.001,0.9741666666666666
200,10,30,0.001,0.9741666666666666
250,10,38,0.001,0.9738888888888889
250,10,30,0.001,0.9738888888888889
150,10,38,0.001,0.9736111111111111
25,10,38,0.001,0.9727777777777777
100,10,38,0.001,0.9725
50,10,38,0.001,0.9722222222222222
200,10,12,0.001,0.9702777777777778
150,10,12,0.001,0.97
100,10,12,0.001,0.9697222222222223
250,10,12,0.001,0.9697222222222223
50,10,12,0.001,0.9694444444444444
50,15,6,0.001,0.9694444444444444
25,30,6,0.001,0.9686111111111111
25,25,6,0.001,0.9686111111111111
25,20,6,0.001,0.9686111111111111
25,10,12,0.001,0.9686111111111111
50,25,6,0.001,0.9672222222222222
100,25,6,0.001,0.9672222222222222
100,30,6,0.001,0.9672222222222222
50,30,6,0.001,0.9672222222222222
50,20,6,0.001,0.9669444444444445
150,15,6,0.001,0.9669444444444445
25,15,6,0.001,0.9666666666666667
100,20,6,0.001,0.9666666666666667
150,25,6,0.001,0.9663888888888889
250,20,6,0.001,0.9663888888888889
250,15,6,0.001,0.9663888888888889
200,15,6,0.001,0.9663888888888889
150,30,6,0.001,0.9663888888888889
100,15,6,0.001,0.9661111111111111
200,30,6,0.001,0.9661111111111111
200,25,6,0.001,0.9661111111111111
250,30,6,0.001,0.9658333333333333
250,25,6,0.001,0.9658333333333333
200,20,6,0.001,0.9658333333333333
150,20,6,0.001,0.9652777777777778
250,10,6,0.001,0.9541666666666667
25,10,6,0.001,0.9538888888888889
200,10,6,0.001,0.9538888888888889
50,10,6,0.001,0.9538888888888889
100,10,6,0.001,0.9527777777777777
150,10,6,0.001,0.9525
50,20,3,0.001,0.95
50,25,3,0.001,0.95
50,30,3,0.001,0.95
250,20,3,0.001,0.9491666666666667
250,30,3,0.001,0.9486111111111111
