mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
18.35208683013916,0.0982202863302049,0.1663572072982788,0.011635968701920612,12,4,1,13,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 750}",0.9176029962546817,0.916354556803995,0.915,0.9175,0.9125,0.9175,0.9225,0.915,0.9123904881101377,0.9148936170212766,0.916125,0.0027888576551811516,1674
24.43932399749756,0.15706542799760392,0.2177058458328247,0.010373617992975542,12,4,1,13,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 1000}",0.9176029962546817,0.9188514357053683,0.91375,0.91625,0.915,0.91625,0.92125,0.91625,0.9111389236545682,0.9161451814768461,0.91625,0.0025985137078492664,1668
6.081954097747802,0.05032434037024619,0.0544468879699707,0.0020694004125120674,12,4,1,16,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 250}",0.9138576779026217,0.9176029962546817,0.91,0.915,0.9175,0.91625,0.92,0.91125,0.9123904881101377,0.9123904881101377,0.914625,0.0030358099514552614,1798
12.213553094863892,0.08534518898065899,0.10846796035766601,0.0046661818832834535,12,4,1,16,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 500}",0.920099875156055,0.9176029962546817,0.9125,0.915,0.91375,0.91625,0.9225,0.91625,0.9123904881101377,0.9098873591989988,0.915625,0.0035918520147332914,1719
18.32214891910553,0.11924486925049715,0.16087138652801514,0.004193823416311593,12,4,1,16,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 750}",0.9151061173533084,0.9176029962546817,0.9125,0.915,0.91625,0.91875,0.92125,0.91625,0.9123904881101377,0.9123904881101377,0.91575,0.0027797916231879763,1708
24.331845617294313,0.07946266708850044,0.21126329898834229,0.005563344327275087,12,4,1,16,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 1000}",0.9176029962546817,0.9176029962546817,0.9125,0.91625,0.91375,0.91625,0.9225,0.915,0.9123904881101377,0.9123904881101377,0.915625,0.0030075147331881137,1719
6.019277310371399,0.047836792327196224,0.055397319793701175,0.0013271921866827448,12,4,2,4,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 250}",0.9176029962546817,0.920099875156055,0.915,0.91625,0.91375,0.9175,0.92,0.91375,0.9148936170212766,0.9161451814768461,0.9165,0.0021813734437276552,1644
12.133683490753175,0.1119708981806593,0.11143214702606201,0.0032858116770651123,12,4,2,4,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.9188514357053683,0.9176029962546817,0.915,0.915,0.915,0.92,0.92125,0.9175,0.9136420525657072,0.9123904881101377,0.916625,0.002723695366561828,1628
18.22063503265381,0.057042077064193605,0.16538558006286622,0.00962179787817957,12,4,2,4,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 750}",0.916354556803995,0.9188514357053683,0.91375,0.91625,0.91625,0.91875,0.92125,0.91375,0.9148936170212766,0.9111389236545682,0.916125,0.002798366406545189,1674
24.227247309684753,0.11080245795914553,0.22281694412231445,0.00883285053643773,12,4,2,4,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.9138576779026217,0.9176029962546817,0.91375,0.91875,0.91375,0.9175,0.92125,0.9175,0.9136420525657072,0.918648310387985,0.916625,0.0025606559134647633,1628
6.0027254819869995,0.03805174614291192,0.055811190605163576,0.0019213204486748224,12,4,2,7,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 250}",0.920099875156055,0.9213483146067416,0.9125,0.915,0.91625,0.91875,0.92,0.91875,0.9136420525657072,0.9161451814768461,0.91725,0.002825893305781535,1566
12.08079435825348,0.0696510178446288,0.11153683662414551,0.0035668709997425775,12,4,2,7,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 500}",0.9176029962546817,0.916354556803995,0.9125,0.9175,0.915,0.91625,0.92125,0.9125,0.9123904881101377,0.9123904881101377,0.915375,0.002831819333574973,1731
18.108141350746155,0.0736492416289031,0.16082022190093995,0.0028430144832412288,12,4,2,7,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 750}",0.9188514357053683,0.9176029962546817,0.91125,0.91625,0.91625,0.9175,0.92125,0.915,0.9123904881101377,0.9123904881101377,0.915875,0.003001366166489821,1696
24.055862140655517,0.15851446065351735,0.21380727291107177,0.007387804316880032,12,4,2,7,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 1000}",0.9176029962546817,0.9176029962546817,0.91375,0.9175,0.91375,0.9175,0.9225,0.91625,0.9123904881101377,0.9148936170212766,0.916375,0.002737000393349835,1659
5.98118097782135,0.043317970777502476,0.05731918811798096,0.0022732167788851636,12,4,2,10,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 250}",0.9176029962546817,0.9138576779026217,0.91125,0.915,0.9175,0.91625,0.92125,0.91625,0.9123904881101377,0.9148936170212766,0.915625,0.002711027175114325,1719
12.00934317111969,0.0660060664062267,0.10934550762176513,0.002711345741946461,12,4,2,10,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.916354556803995,0.9151061173533084,0.9125,0.91625,0.9125,0.9175,0.9225,0.9175,0.9136420525657072,0.9136420525657072,0.91575,0.00287609674819409,1708
17.99214961528778,0.10298396569189212,0.164475154876709,0.009438433091528725,12,4,2,10,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 750}",0.916354556803995,0.9176029962546817,0.915,0.91875,0.91375,0.9175,0.92,0.9175,0.9136420525657072,0.9173967459324155,0.91675,0.0019672341863047594,1613
23.865895986557007,0.08335029481306158,0.2119279146194458,0.005596278653788119,12,4,2,10,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",0.9176029962546817,0.9188514357053683,0.91375,0.9175,0.91625,0.91625,0.92375,0.91625,0.9123904881101377,0.9123904881101377,0.9165,0.0031906228021108614,1644
5.9837308645248415,0.07113316530037696,0.05472874641418457,0.0016596435558235824,12,4,2,13,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 250}",0.916354556803995,0.916354556803995,0.915,0.9175,0.915,0.91625,0.9175,0.915,0.9136420525657072,0.9148936170212766,0.91575,0.0011817256335581914,1708
11.96272304058075,0.04558764314224901,0.10842316150665283,0.00305759465941833,12,4,2,13,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 500}",0.9151061173533084,0.9213483146067416,0.9125,0.9175,0.915,0.9175,0.92125,0.91625,0.9111389236545682,0.9111389236545682,0.915875,0.003490845900380509,1696
17.951564502716064,0.07116656597377981,0.16469087600708007,0.007050005306058684,12,4,2,13,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 750}",0.9151061173533084,0.9176029962546817,0.91375,0.91625,0.915,0.9175,0.9225,0.915,0.9123904881101377,0.9136420525657072,0.915875,0.002709369678140399,1696
24.068221974372864,0.11566174843172244,0.21555078029632568,0.00912023510657722,12,4,2,13,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 1000}",0.916354556803995,0.9176029962546817,0.9125,0.91625,0.9125,0.9175,0.92,0.915,0.9123904881101377,0.9111389236545682,0.915125,0.002747139287954077,1755
