n_estimators,max_depth,max_features,min_impurity_decrease,score
100,15,24,0.001,0.9780555555555556
150,25,24,0.001,0.9769444444444444
150,30,24,0.001,0.9769444444444444
150,20,24,0.001,0.9766666666666667
200,30,24,0.001,0.9763888888888889
100,25,24,0.001,0.9763888888888889
200,25,24,0.001,0.9763888888888889
50,20,24,0.001,0.9763888888888889
25,15,30,0.001,0.9763888888888889
150,15,24,0.001,0.9763888888888889
200,20,24,0.001,0.9763888888888889
50,30,24,0.001,0.9763888888888889
100,30,24,0.001,0.9763888888888889
50,25,24,0.001,0.9763888888888889
250,30,24,0.001,0.9761111111111112
50,15,24,0.001,0.9761111111111112
250,25,24,0.001,0.9761111111111112
150,25,12,0.001,0.9761111111111112
50,25,12,0.001,0.9761111111111112
50,20,12,0.001,0.9761111111111112
150,20,12,0.001,0.9761111111111112
100,20,24,0.001,0.9761111111111112
250,25,12,0.001,0.9761111111111112
250,20,12,0.001,0.9761111111111112
150,30,12,0.001,0.9761111111111112
50,30,12,0.001,0.9761111111111112
250,20,24,0.001,0.9761111111111112
250,30,12,0.001,0.9761111111111112
25,20,30,0.001,0.9758333333333333
25,25,30,0.001,0.9758333333333333
25,30,30,0.001,0.9758333333333333
200,20,12,0.001,0.9755555555555555
200,25,12,0.001,0.9755555555555555
100,25,30,0.001,0.9755555555555555
200,30,12,0.001,0.9755555555555555
250,15,12,0.001,0.9755555555555555
100,20,30,0.001,0.9755555555555555
200,15,24,0.001,0.9755555555555555
250,15,24,0.001,0.9755555555555555
100,15,30,0.001,0.9755555555555555
100,30,30,0.001,0.9755555555555555
250,15,30,0.001,0.9752777777777778
150,25,30,0.001,0.975
150,20,30,0.001,0.975
200,15,12,0.001,0.975
150,30,30,0.001,0.975
25,25,12,0.001,0.975
25,20,12,0.001,0.975
25,30,12,0.001,0.975
25,20,24,0.001,0.9747222222222223
50,20,30,0.001,0.9747222222222223
200,20,38,0.001,0.9747222222222223
200,30,38,0.001,0.9747222222222223
200,25,38,0.001,0.9747222222222223
25,25,24,0.001,0.9747222222222223
25,15,24,0.001,0.9747222222222223
250,30,30,0.001,0.9747222222222223
250,25,30,0.001,0.9747222222222223
50,30,30,0.001,0.9747222222222223
250,20,30,0.001,0.9747222222222223
25,30,24,0.001,0.9747222222222223
50,25,30,0.001,0.9747222222222223
150,15,12,0.001,0.9744444444444444
200,30,30,0.001,0.9744444444444444
100,30,12,0.001,0.9744444444444444
150,15,30,0.001,0.9744444444444444
200,15,30,0.001,0.9744444444444444
100,25,12,0.001,0.9744444444444444
200,25,30,0.001,0.9744444444444444
200,20,30,0.001,0.9744444444444444
50,15,30,0.001,0.9741666666666666
100,20,12,0.001,0.9741666666666666
200,15,38,0.001,0.9736111111111111
50,15,12,0.001,0.9736111111111111
150,15,38,0.001,0.9733333333333334
250,30,38,0.001,0.9733333333333334
150,30,38,0.001,0.9733333333333334
150,20,38,0.001,0.9733333333333334
250,20,38,0.001,0.9733333333333334
250,25,38,0.001,0.9733333333333334
150,25,38,0.001,0.9733333333333334
250,15,38,0.001,0.9730555555555556
50,20,38,0.001,0.9727777777777777
50,25,38,0.001,0.9727777777777777
100,15,12,0.001,0.9727777777777777
50,30,38,0.001,0.9727777777777777
50,15,38,0.001,0.9727777777777777
100,15,38,0.001,0.9727777777777777
100,25,38,0.001,0.9727777777777777
100,30,38,0.001,0.9727777777777777
100,20,38,0.001,0.9727777777777777
25,25,38,0.001,0.9722222222222222
25,30,38,0.001,0.9722222222222222
25,20,38,0.001,0.9722222222222222
150,20,6,0.001,0.9722222222222222
100,20,6,0.001,0.9719444444444445
150,25,6,0.001,0.9716666666666667
25,15,12,0.001,0.9716666666666667
25,15,38,0.001,0.9716666666666667
