n_estimators,max_depth,max_features,min_impurity_decrease,score
50,25,38,0.001,0.9797222222222223
50,20,38,0.001,0.9797222222222223
50,30,38,0.001,0.9797222222222223
25,20,38,0.001,0.9791666666666666
25,30,38,0.001,0.9791666666666666
50,20,30,0.001,0.9791666666666666
50,15,38,0.001,0.9791666666666666
50,25,30,0.001,0.9791666666666666
50,30,30,0.001,0.9791666666666666
25,25,38,0.001,0.9791666666666666
25,15,38,0.001,0.9788888888888889
100,20,38,0.001,0.9788888888888889
150,25,30,0.001,0.9788888888888889
100,25,38,0.001,0.9788888888888889
150,20,30,0.001,0.9788888888888889
150,30,30,0.001,0.9788888888888889
100,30,38,0.001,0.9788888888888889
100,15,38,0.001,0.9786111111111111
150,15,30,0.001,0.9786111111111111
50,15,30,0.001,0.9783333333333334
200,20,38,0.001,0.9780555555555556
150,25,38,0.001,0.9780555555555556
200,30,38,0.001,0.9780555555555556
200,25,38,0.001,0.9780555555555556
150,20,38,0.001,0.9780555555555556
150,15,38,0.001,0.9780555555555556
150,30,38,0.001,0.9780555555555556
100,30,30,0.001,0.9777777777777777
200,30,30,0.001,0.9777777777777777
200,15,38,0.001,0.9777777777777777
200,25,30,0.001,0.9777777777777777
100,20,30,0.001,0.9777777777777777
200,20,30,0.001,0.9777777777777777
100,25,30,0.001,0.9777777777777777
250,25,38,0.001,0.9775
250,25,30,0.001,0.9775
250,30,38,0.001,0.9775
250,15,30,0.001,0.9775
250,20,38,0.001,0.9775
250,30,30,0.001,0.9775
250,20,30,0.001,0.9775
50,20,24,0.001,0.9772222222222222
50,25,24,0.001,0.9772222222222222
250,15,38,0.001,0.9772222222222222
25,15,30,0.001,0.9772222222222222
50,15,24,0.001,0.9772222222222222
50,30,24,0.001,0.9772222222222222
100,15,30,0.001,0.9769444444444444
200,15,30,0.001,0.9769444444444444
100,20,24,0.001,0.9766666666666667
25,20,30,0.001,0.9766666666666667
100,30,24,0.001,0.9766666666666667
100,25,24,0.001,0.9766666666666667
25,25,30,0.001,0.9766666666666667
25,30,30,0.001,0.9766666666666667
200,30,24,0.001,0.9761111111111112
150,25,24,0.001,0.9761111111111112
200,25,24,0.001,0.9761111111111112
200,20,24,0.001,0.9761111111111112
150,20,24,0.001,0.9761111111111112
150,30,24,0.001,0.9761111111111112
250,20,24,0.001,0.9758333333333333
250,25,24,0.001,0.9758333333333333
250,30,24,0.001,0.9758333333333333
150,15,24,0.001,0.9752777777777778
25,30,24,0.001,0.9752777777777778
25,25,24,0.001,0.9752777777777778
25,15,24,0.001,0.9752777777777778
25,20,24,0.001,0.9752777777777778
100,15,24,0.001,0.975
250,15,24,0.001,0.9747222222222223
200,15,24,0.001,0.9747222222222223
150,25,12,0.001,0.9741666666666666
150,30,12,0.001,0.9741666666666666
150,20,12,0.001,0.9741666666666666
50,20,12,0.001,0.9738888888888889
250,15,12,0.001,0.9738888888888889
50,15,12,0.001,0.9738888888888889
50,10,38,0.001,0.9738888888888889
50,10,30,0.001,0.9738888888888889
200,20,12,0.001,0.9738888888888889
250,20,12,0.001,0.9738888888888889
200,30,12,0.001,0.9738888888888889
50,30,12,0.001,0.9738888888888889
250,25,12,0.001,0.9738888888888889
200,25,12,0.001,0.9738888888888889
50,25,12,0.001,0.9738888888888889
250,30,12,0.001,0.9738888888888889
100,10,38,0.001,0.9736111111111111
25,20,12,0.001,0.9733333333333334
200,15,12,0.001,0.9733333333333334
25,25,12,0.001,0.9733333333333334
150,10,38,0.001,0.9733333333333334
25,10,38,0.001,0.9733333333333334
25,15,12,0.001,0.9733333333333334
25,30,12,0.001,0.9733333333333334
150,15,12,0.001,0.9730555555555556
25,10,30,0.001,0.9730555555555556
25,10,24,0.001,0.9727777777777777
200,10,38,0.001,0.9727777777777777
100,30,12,0.001,0.9725
100,20,12,0.001,0.9725
100,25,12,0.001,0.9725
250,10,38,0.001,0.9725
100,15,12,0.001,0.9719444444444445
150,10,24,0.001,0.9719444444444445
100,10,30,0.001,0.9719444444444445
150,10,30,0.001,0.9716666666666667
100,10,24,0.001,0.9716666666666667
200,10,30,0.001,0.9716666666666667
250,10,30,0.001,0.9708333333333333
50,10,24,0.001,0.9702777777777778
200,10,24,0.001,0.97
250,10,24,0.001,0.97
50,15,6,0.001,0.9661111111111111
150,10,12,0.001,0.9658333333333333
250,10,12,0.001,0.9652777777777778
100,10,12,0.001,0.965
200,10,12,0.001,0.9647222222222223
200,20,6,0.001,0.9644444444444444
250,20,6,0.001,0.9641666666666666
100,15,6,0.001,0.9641666666666666
200,25,6,0.001,0.9638888888888889
250,25,6,0.001,0.9638888888888889
200,30,6,0.001,0.9638888888888889
250,30,6,0.001,0.9638888888888889
25,15,6,0.001,0.9636111111111111
150,25,6,0.001,0.9633333333333334
150,30,6,0.001,0.9633333333333334
150,20,6,0.001,0.9633333333333334
100,20,6,0.001,0.9633333333333334
100,25,6,0.001,0.9627777777777777
100,30,6,0.001,0.9627777777777777
200,15,6,0.001,0.9625
150,15,6,0.001,0.9625
50,10,12,0.001,0.9625
50,25,6,0.001,0.9619444444444445
25,25,6,0.001,0.9619444444444445
50,30,6,0.001,0.9619444444444445
50,20,6,0.001,0.9619444444444445
25,20,6,0.001,0.9619444444444445
25,30,6,0.001,0.9619444444444445
250,15,6,0.001,0.9616666666666667
25,10,12,0.001,0.9602777777777778
150,10,6,0.001,0.9508333333333333
25,10,6,0.001,0.9502777777777778
50,20,3,0.001,0.9502777777777778
200,10,6,0.001,0.95
250,10,6,0.001,0.9497222222222222
100,30,3,0.001,0.9494444444444444
100,25,3,0.001,0.9494444444444444
50,25,3,0.001,0.9491666666666667
50,30,3,0.001,0.9491666666666667
100,10,6,0.001,0.9491666666666667
200,20,3,0.001,0.9488888888888889
200,30,3,0.001,0.9488888888888889
250,30,3,0.001,0.9488888888888889
250,25,3,0.001,0.9488888888888889
200,25,3,0.001,0.9488888888888889
150,20,3,0.001,0.9486111111111111
