n_estimators,max_depth,max_features,min_impurity_decrease,score
150,25,24,0.001,0.9661111111111111
150,30,24,0.001,0.9661111111111111
25,15,12,0.001,0.9661111111111111
150,20,24,0.001,0.9661111111111111
200,25,12,0.001,0.9658333333333333
200,30,12,0.001,0.9658333333333333
200,20,12,0.001,0.9658333333333333
200,20,24,0.001,0.9655555555555555
150,15,12,0.001,0.9655555555555555
100,20,24,0.001,0.9655555555555555
200,30,24,0.001,0.9655555555555555
200,25,24,0.001,0.9655555555555555
100,25,38,0.001,0.9652777777777778
100,20,38,0.001,0.9652777777777778
100,25,30,0.001,0.9652777777777778
50,20,24,0.001,0.9652777777777778
150,25,38,0.001,0.9652777777777778
250,20,12,0.001,0.9652777777777778
100,25,24,0.001,0.9652777777777778
150,30,38,0.001,0.9652777777777778
100,30,38,0.001,0.9652777777777778
50,15,12,0.001,0.9652777777777778
100,15,12,0.001,0.9652777777777778
100,30,30,0.001,0.9652777777777778
100,30,24,0.001,0.9652777777777778
250,25,12,0.001,0.965
150,20,38,0.001,0.965
100,20,30,0.001,0.965
250,15,12,0.001,0.965
250,30,12,0.001,0.965
50,30,24,0.001,0.965
100,30,12,0.001,0.965
100,20,12,0.001,0.965
50,25,24,0.001,0.965
50,15,38,0.001,0.965
100,15,30,0.001,0.965
100,25,12,0.001,0.965
250,30,30,0.001,0.9647222222222223
150,15,24,0.001,0.9647222222222223
250,25,24,0.001,0.9647222222222223
50,15,30,0.001,0.9647222222222223
50,25,30,0.001,0.9647222222222223
25,30,38,0.001,0.9647222222222223
25,25,38,0.001,0.9647222222222223
25,20,38,0.001,0.9647222222222223
250,25,30,0.001,0.9647222222222223
100,15,38,0.001,0.9647222222222223
50,20,30,0.001,0.9647222222222223
50,30,30,0.001,0.9647222222222223
250,30,24,0.001,0.9647222222222223
250,20,24,0.001,0.9647222222222223
200,20,38,0.001,0.9644444444444444
150,20,12,0.001,0.9644444444444444
250,20,30,0.001,0.9644444444444444
200,30,38,0.001,0.9644444444444444
250,15,38,0.001,0.9644444444444444
250,20,38,0.001,0.9644444444444444
250,30,38,0.001,0.9644444444444444
250,25,38,0.001,0.9644444444444444
200,25,38,0.001,0.9644444444444444
150,15,30,0.001,0.9641666666666666
25,25,12,0.001,0.9641666666666666
250,15,30,0.001,0.9641666666666666
50,25,38,0.001,0.9641666666666666
50,20,38,0.001,0.9641666666666666
150,25,12,0.001,0.9641666666666666
25,30,12,0.001,0.9641666666666666
25,20,12,0.001,0.9641666666666666
200,15,12,0.001,0.9641666666666666
150,30,12,0.001,0.9641666666666666
50,30,38,0.001,0.9641666666666666
200,20,30,0.001,0.9638888888888889
150,15,38,0.001,0.9638888888888889
25,15,38,0.001,0.9638888888888889
150,30,30,0.001,0.9638888888888889
150,20,30,0.001,0.9638888888888889
250,15,24,0.001,0.9638888888888889
150,25,30,0.001,0.9638888888888889
50,20,12,0.001,0.9638888888888889
100,15,24,0.001,0.9638888888888889
50,30,12,0.001,0.9638888888888889
50,25,12,0.001,0.9638888888888889
200,25,30,0.001,0.9636111111111111
200,15,24,0.001,0.9636111111111111
200,15,30,0.001,0.9636111111111111
200,30,30,0.001,0.9636111111111111
200,15,38,0.001,0.9636111111111111
50,15,24,0.001,0.9633333333333334
