n_estimators,max_depth,max_features,min_impurity_decrease,score
25,30,24,0.001,0.9719444444444445
25,25,24,0.001,0.9719444444444445
25,20,24,0.001,0.9719444444444445
200,15,30,0.001,0.9705555555555555
150,15,30,0.001,0.9702777777777778
150,25,30,0.001,0.97
150,20,30,0.001,0.97
150,30,30,0.001,0.97
25,15,30,0.001,0.97
50,20,30,0.001,0.9697222222222223
25,20,30,0.001,0.9697222222222223
25,30,12,0.001,0.9697222222222223
100,30,12,0.001,0.9697222222222223
250,15,24,0.001,0.9697222222222223
200,20,30,0.001,0.9697222222222223
50,25,30,0.001,0.9697222222222223
25,25,30,0.001,0.9697222222222223
25,30,30,0.001,0.9697222222222223
50,30,30,0.001,0.9697222222222223
25,25,12,0.001,0.9697222222222223
100,25,12,0.001,0.9697222222222223
25,20,12,0.001,0.9697222222222223
200,25,30,0.001,0.9694444444444444
100,15,30,0.001,0.9694444444444444
250,15,12,0.001,0.9694444444444444
200,30,30,0.001,0.9694444444444444
100,20,12,0.001,0.9694444444444444
100,15,12,0.001,0.9691666666666666
150,25,12,0.001,0.9691666666666666
250,20,12,0.001,0.9691666666666666
100,20,30,0.001,0.9691666666666666
200,20,12,0.001,0.9691666666666666
200,25,12,0.001,0.9691666666666666
150,30,12,0.001,0.9691666666666666
200,30,12,0.001,0.9691666666666666
150,20,12,0.001,0.9691666666666666
250,25,12,0.001,0.9688888888888889
25,15,24,0.001,0.9688888888888889
250,30,12,0.001,0.9688888888888889
200,15,24,0.001,0.9688888888888889
150,15,24,0.001,0.9688888888888889
100,25,30,0.001,0.9688888888888889
100,30,30,0.001,0.9688888888888889
50,20,12,0.001,0.9686111111111111
50,25,24,0.001,0.9686111111111111
250,30,30,0.001,0.9686111111111111
50,25,12,0.001,0.9686111111111111
50,30,24,0.001,0.9686111111111111
50,20,24,0.001,0.9686111111111111
250,20,30,0.001,0.9686111111111111
250,25,30,0.001,0.9686111111111111
50,30,12,0.001,0.9686111111111111
100,20,24,0.001,0.9683333333333334
150,20,24,0.001,0.9683333333333334
250,15,30,0.001,0.9683333333333334
100,25,24,0.001,0.9683333333333334
200,15,12,0.001,0.9683333333333334
