n_estimators,max_depth,max_features,min_impurity_decrease,score
110,20,3,0.001,0.9383333333333334
140,20,3,0.001,0.9383333333333334
80,15,3,0.001,0.9380555555555555
110,30,3,0.001,0.9380555555555555
170,20,3,0.001,0.9377777777777778
110,25,3,0.001,0.9375
200,10,6,0.001,0.9372222222222222
110,15,3,0.001,0.9369444444444445
140,15,3,0.001,0.9366666666666666
250,30,3,0.001,0.9366666666666666
170,10,6,0.001,0.9361111111111111
250,10,6,0.001,0.9361111111111111
250,25,3,0.001,0.9361111111111111
170,15,3,0.001,0.9361111111111111
200,25,3,0.001,0.9355555555555556
200,30,3,0.001,0.9355555555555556
200,20,3,0.001,0.9347222222222222
200,15,3,0.001,0.9347222222222222
250,20,3,0.001,0.9344444444444444
140,10,6,0.001,0.9341666666666667
110,10,6,0.001,0.9341666666666667
250,15,3,0.001,0.9338888888888889
80,10,6,0.001,0.9330555555555555
110,10,3,0.001,0.9144444444444444
80,10,3,0.001,0.9138888888888889
140,10,3,0.001,0.9127777777777778
250,10,3,0.001,0.9116666666666666
170,10,3,0.001,0.9113888888888889
200,10,3,0.001,0.9094444444444445
