0,1,2,3,4,5,6,7,8,9,10,11
-15.081498146057129,-15.340722560882568,-15.9791841506958,-15.185585975646973,-15.589722633361816,-15.896983623504639,,,,,,
-15.960829257965088,-15.524162769317627,-15.140090942382812,-15.916209697723389,-15.537979125976562,-16.070899963378906,,,,,,
-16.059057235717773,-16.017520904541016,-15.513092041015625,-15.930720329284668,,,,,,,,
-16.182021141052246,-15.941842555999756,-14.81050729751587,,,,,,,,,
-15.48415994644165,-15.439229488372803,-15.517131328582764,-15.170789241790771,-15.137970447540283,-15.469174861907959,-16.04830265045166,,,,,
-15.789519786834717,-15.263925075531006,-15.860913753509521,-15.571290969848633,-15.385836601257324,-15.422163486480713,-15.397068500518799,,,,,
-15.521474361419678,-16.00028896331787,-15.746471405029297,-15.039129257202148,,,,,,,,
-16.2098331451416,-15.530170917510986,-14.999797821044922,-15.647264003753662,-15.66882038116455,-15.298078536987305,,,,,,
-15.533409595489502,-15.87421464920044,,,,,,,,,,
-15.875526905059814,-15.079898834228516,-15.432386875152588,,,,,,,,,
-14.936736583709717,-15.414523601531982,-14.93533706665039,-15.501240253448486,-15.861573219299316,-14.819199085235596,,,,,,
-16.06113910675049,-15.98810863494873,-15.766134262084961,-15.60308027267456,,,,,,,,
-15.25784683227539,-16.189875602722168,-15.492162704467773,-15.777031421661377,-15.974870681762695,,,,,,,
-15.276036262512207,-15.69169807434082,-15.414668560028076,-15.718207836151123,-15.033935546875,-15.66591215133667,,,,,,
-15.70158338546753,-15.82773733139038,-15.487074375152588,-15.577884197235107,-15.85884141921997,-15.48014211654663,-15.040503025054932,,,,,
-15.791020393371582,-15.490315437316895,-16.115229606628418,-15.334798812866211,-15.536023616790771,,,,,,,
-15.282222747802734,-16.196213722229004,-15.227095127105713,-15.925609111785889,-15.811074256896973,-16.11864471435547,-15.671993255615234,-15.474006652832031,,,,
-16.224058151245117,-15.9624342918396,-15.027014255523682,-15.014878749847412,-14.963079929351807,-15.652934551239014,-15.919625759124756,,,,,
-15.533871173858643,-14.875014305114746,-15.471810340881348,,,,,,,,,
-15.84506607055664,-15.212528705596924,-15.426419258117676,-15.837848663330078,-15.21696662902832,-15.428979396820068,,,,,,
-16.182462692260742,-16.053902626037598,,,,,,,,,,
-15.75094985961914,-15.432766437530518,-16.11173915863037,-15.683088779449463,-15.749909400939941,,,,,,,
-14.856557846069336,-15.718276500701904,-14.793647289276123,-16.028255462646484,-15.620038509368896,-15.873618125915527,-15.106813907623291,-15.571924686431885,,,,
-14.928496360778809,-15.30685567855835,-15.338753700256348,-15.479849338531494,-15.810693740844727,-15.663434982299805,-14.981252670288086,-16.00938129425049,,,,
-15.689857006072998,-16.183197021484375,-14.915052890777588,-14.894014835357666,,,,,,,,
-15.836135387420654,-15.70388412475586,-16.06945514678955,-16.023395538330078,-16.136754035949707,,,,,,,
-14.801645278930664,-15.443042755126953,-15.724137783050537,-15.769937515258789,,,,,,,,
,,,,,,,,,,,
-15.70893383026123,-15.114830017089844,-15.521748542785645,,,,,,,,,
-15.04061222076416,-15.969454288482666,-14.789223670959473,-15.96105670928955,,,,,,,,
-15.756612300872803,-15.404641151428223,-15.83931016921997,-15.596640586853027,-15.838540077209473,,,,,,,
-15.025591850280762,-15.588288307189941,-15.312553405761719,-15.511592388153076,,,,,,,,
-14.975442886352539,-15.715378761291504,-15.548156261444092,-15.64792776107788,-15.918041706085205,-15.827842712402344,-15.349810600280762,-15.016833305358887,-15.691160202026367,,,
-16.042792320251465,-15.517780303955078,-15.235077381134033,-15.726202964782715,-14.658531665802002,-15.623072624206543,,,,,,
-16.228382110595703,-15.401546001434326,-15.82672929763794,-15.831313610076904,,,,,,,,
-16.083888053894043,-15.692761898040771,-15.751632690429688,-14.896466255187988,,,,,,,,
-15.847163677215576,-15.49660587310791,-15.217407703399658,-15.696034908294678,-15.343760013580322,-15.467873096466064,-15.261075496673584,,,,,
-15.582293033599854,-15.890936851501465,-14.862943649291992,-15.281232357025146,-16.11348056793213,,,,,,,
-15.429901599884033,-15.30541467666626,-15.445127487182617,-15.815420150756836,-15.524404525756836,,,,,,,
-15.367934226989746,-15.228970527648926,-15.519091129302979,-15.854193210601807,-15.59412956237793,,,,,,,
-15.821405410766602,-15.580090522766113,-15.93873405456543,,,,,,,,,
-15.256786823272705,-14.984849452972412,-16.19577980041504,-15.334018230438232,-15.424672603607178,-15.414506912231445,,,,,,
-15.407110691070557,-15.901898860931396,-15.698695659637451,-15.618715286254883,-14.738372325897217,,,,,,,
-15.968171119689941,-15.35705852508545,-15.02283000946045,-15.013020515441895,,,,,,,,
-15.526718139648438,-15.267600059509277,-14.536113739013672,-15.136809349060059,-15.93034839630127,,,,,,,
-15.01759147644043,-15.371186256408691,-15.366276741027832,-15.43527603149414,-16.134319305419922,,,,,,,
-15.936256885528564,-16.081134796142578,-15.968714714050293,-15.119998931884766,,,,,,,,
-15.659402847290039,-15.391347885131836,-15.959334373474121,-14.962610721588135,,,,,,,,
-15.954551219940186,-15.669183254241943,-15.541698932647705,-15.441667556762695,,,,,,,,
-16.21189594268799,-15.708156108856201,-15.304181098937988,-15.65273141860962,,,,,,,,
-15.053230285644531,-15.820271968841553,-15.500147342681885,-15.802316188812256,-15.907172203063965,,,,,,,
-14.80434274673462,-16.034685134887695,-15.651900291442871,-14.761205673217773,,,,,,,,
-15.710332870483398,-15.627522468566895,,,,,,,,,,
-15.097320556640625,-15.99488353729248,-15.964637756347656,-16.066264152526855,-14.906443119049072,-15.18608570098877,-15.262335300445557,-15.187009811401367,,,,
-16.222700119018555,-15.454083442687988,-15.796343803405762,,,,,,,,,
-15.721630573272705,-15.885453701019287,-15.747787475585938,-15.526928424835205,-14.846499919891357,,,,,,,
-15.271127700805664,-15.112545490264893,-16.246472358703613,-15.33324384689331,-15.555544376373291,-15.78519058227539,,,,,,
-15.505598545074463,-16.00807285308838,,,,,,,,,,
-15.686856746673584,-15.616703510284424,-15.499586582183838,-15.223708152770996,-15.748249053955078,-14.889055252075195,-15.31808853149414,,,,,
-14.524041175842285,-15.420521259307861,-15.879222393035889,-15.262134075164795,-15.86087703704834,,,,,,,
-15.630844593048096,-16.19180202484131,-15.672008514404297,,,,,,,,,
-15.197267055511475,-15.252122402191162,-15.955491065979004,-16.241559982299805,-15.012552738189697,-15.03570032119751,,,,,,
-15.37461805343628,-16.19475269317627,-15.982306003570557,,,,,,,,,
-15.803819179534912,-15.81725263595581,-15.066882610321045,-15.798481941223145,,,,,,,,
-14.974507808685303,-15.96323013305664,-15.113811492919922,,,,,,,,,
-15.481424331665039,-15.361892223358154,-15.160366535186768,-15.40510368347168,,,,,,,,
-15.801333904266357,-15.476105213165283,-15.71217393875122,-15.250983715057373,,,,,,,,
-16.06024932861328,-15.29006814956665,-15.184215068817139,,,,,,,,,
-14.899486064910889,-15.236755847930908,-16.05863666534424,-16.025395393371582,-15.471497058868408,,,,,,,
-15.840486526489258,-15.69969129562378,-15.448221206665039,,,,,,,,,
-15.201796054840088,-14.938882827758789,-15.1534423828125,-15.189599990844727,,,,,,,,
-15.242838382720947,-16.035340309143066,,,,,,,,,,
-16.21939468383789,-15.565264225006104,-15.521798610687256,-15.48567008972168,-14.971914768218994,-15.062273979187012,-15.019119262695312,-15.766736507415771,,,,
-15.484824180603027,-15.45214319229126,-15.603697776794434,-15.823736667633057,-14.7643404006958,-15.578242301940918,-15.04040002822876,,,,,
-15.538434982299805,-15.947304725646973,-15.695133209228516,-16.086559295654297,-15.396624088287354,,,,,,,
-15.55518102645874,-15.480152606964111,-15.400049686431885,-16.045655250549316,,,,,,,,
-16.025395393371582,-14.963412761688232,-15.357764720916748,-15.371271133422852,,,,,,,,
-15.198771953582764,-16.18118381500244,-15.22474479675293,-15.67163896560669,,,,,,,,
-15.867657661437988,,,,,,,,,,,
-14.804941177368164,-15.221013069152832,-15.7519850730896,-15.497608184814453,,,,,,,,
-15.281950950622559,-15.2847318649292,-15.76160478591919,,,,,,,,,
-15.278470993041992,-15.93503713607788,-14.924490451812744,-15.995576858520508,,,,,,,,
-15.997119903564453,-16.00667953491211,-15.86418867111206,-15.08397102355957,-15.217564582824707,-15.560429096221924,,,,,,
-15.247545719146729,-16.174362182617188,-15.376674175262451,-16.086145401000977,-15.44823932647705,-15.175127029418945,,,,,,
-15.66208267211914,-15.341491222381592,-15.753125667572021,-14.802820205688477,-14.844818115234375,,,,,,,
-15.74720287322998,-14.879108905792236,-15.243434429168701,-16.046753883361816,-16.07829761505127,,,,,,,
-15.398206233978271,-15.173387050628662,-16.02310037612915,-15.435606002807617,,,,,,,,
-15.102827072143555,-16.029221534729004,-15.192725658416748,-14.91554594039917,,,,,,,,
-16.004837036132812,-15.713696479797363,-15.622624397277832,-15.872919082641602,-15.360998153686523,-15.094937801361084,-15.532804489135742,,,,,
-15.367716789245605,-15.423249244689941,-15.820764541625977,-15.173258304595947,,,,,,,,
-15.368496894836426,-15.5178542137146,-15.891568660736084,-15.164734840393066,-15.747787475585938,,,,,,,
-15.803564071655273,-15.246808052062988,-15.148641109466553,-15.352257251739502,-15.28675889968872,,,,,,,
-15.25851058959961,-15.163614749908447,-15.291746139526367,-15.41677474975586,-14.915847778320312,-15.43040657043457,,,,,,
-15.576282978057861,-15.266226291656494,-15.350430011749268,-14.877273559570312,,,,,,,,
-15.51904296875,-15.589247703552246,-15.93270206451416,-15.781527519226074,-15.240140438079834,-15.51894760131836,-14.868061542510986,-15.723119735717773,,,,
-15.922225952148438,-15.862072944641113,-16.122331619262695,,,,,,,,,
-15.908491134643555,-15.809043884277344,-16.041614532470703,-15.690123081207275,-15.694474220275879,,,,,,,
-15.690529823303223,-15.909051895141602,-15.668601512908936,-15.36141300201416,,,,,,,,
-15.869587421417236,-15.153706073760986,-15.411311626434326,-15.717134475708008,,,,,,,,
-15.565473556518555,-15.219002723693848,-14.87314224243164,-15.230408668518066,,,,,,,,
-15.253880500793457,-15.613576889038086,-16.00822114944458,-15.842228412628174,-15.063244819641113,,,,,,,
-16.151957511901855,-15.311665534973145,-15.805789470672607,-15.116670608520508,,,,,,,,
-15.784673690795898,-15.56696367263794,-15.532965183258057,-15.489542484283447,-16.101152420043945,,,,,,,
-15.95146894454956,-15.263148784637451,-16.051563262939453,-15.389688491821289,-15.453634262084961,-16.20787525177002,-16.183836936950684,-14.967233657836914,-14.89838457107544,-15.207594871520996,,
-16.18118381500244,-15.333191394805908,-15.114335536956787,-15.618422031402588,,,,,,,,
-14.79392957687378,-15.95497989654541,-15.667970657348633,-15.802060604095459,-15.736827373504639,-15.396018028259277,-15.285304069519043,,,,,
-15.358795642852783,-15.486807346343994,-15.457981586456299,-15.316394329071045,,,,,,,,
-15.506003379821777,-15.543634414672852,-15.472631931304932,-15.171104431152344,,,,,,,,
-15.885268688201904,-15.411799430847168,-15.223937511444092,-15.576475143432617,-15.388798236846924,-16.183836936950684,-15.374297618865967,-15.059283256530762,,,,
-14.971931457519531,-16.184575080871582,-15.49552059173584,-14.923669338226318,-14.549619674682617,-15.481934070587158,,,,,,
-15.227901935577393,-14.976804256439209,,,,,,,,,,
-15.241512298583984,-15.12652063369751,-15.458301544189453,-15.250108242034912,-15.53603458404541,-15.955112934112549,,,,,,
-15.143323421478271,-15.48220443725586,-15.726963520050049,-15.137446880340576,,,,,,,,
-15.962527751922607,-15.817085266113281,-14.897103786468506,-15.002395153045654,,,,,,,,
-15.449252605438232,-15.619845867156982,-16.13066864013672,-15.863993644714355,-15.647212028503418,-15.334391593933105,-15.035223960876465,-14.978466510772705,-15.938664436340332,,,
-14.917433261871338,-16.144661903381348,-15.820310592651367,-15.872220039367676,-16.03250503540039,-15.338923454284668,,,,,,
-16.21939468383789,-15.06208086013794,-15.722199440002441,-15.896320819854736,,,,,,,,
-15.521657466888428,-15.196983337402344,-15.555386543273926,-15.561236381530762,-14.993203163146973,,,,,,,
-15.120644092559814,-15.533402442932129,-15.612663269042969,-15.604873180389404,-16.153782844543457,-15.417282104492188,-15.678089618682861,,,,,
-15.880667686462402,-15.814326286315918,-14.697888851165771,,,,,,,,,
-15.053020477294922,-15.805157661437988,-15.844728469848633,-15.296772956848145,-15.49826431274414,-15.918393611907959,,,,,,
-15.803303718566895,,,,,,,,,,,
-15.88180160522461,-15.608824253082275,-15.749935150146484,-15.799833297729492,-15.828925132751465,-15.521748542785645,,,,,,
-15.792074203491211,-15.183871746063232,-15.555994510650635,-15.731798648834229,-15.663687705993652,-14.977938175201416,,,,,,
-14.967670440673828,-15.876139640808105,-15.401724815368652,-14.956644535064697,-15.826088428497314,,,,,,,
-14.526721000671387,-15.450933933258057,-15.022404193878174,-15.951665878295898,-15.560844898223877,,,,,,,
-16.183836936950684,-16.048290252685547,-15.153599262237549,-16.07752799987793,,,,,,,,
-15.76090955734253,-15.91141939163208,,,,,,,,,,
-14.907593250274658,-15.394582271575928,-15.390331745147705,-15.05487060546875,-16.136064529418945,,,,,,,
-15.24711799621582,-15.86087942123413,-15.823688507080078,-15.256857872009277,-15.849868774414062,-15.210148811340332,-15.682872772216797,,,,,
-15.651596069335938,-15.979923725128174,-15.048656463623047,-14.702500820159912,-15.647996425628662,-15.534913063049316,-15.292964935302734,-15.7338285446167,,,,
-15.376201152801514,-15.747486591339111,-15.601391315460205,-16.116631507873535,-15.723968029022217,-15.28665542602539,-16.16294574737549,,,,,
-15.460335731506348,-15.612644672393799,-16.2098331451416,-15.10456371307373,-14.979660034179688,-15.749248504638672,,,,,,
-15.704379558563232,-15.169350624084473,-15.7401442527771,-14.851325988769531,-15.621457576751709,-16.147700309753418,-15.144078731536865,,,,,
-15.644840240478516,-15.73581600189209,-15.217784881591797,-15.008832454681396,-15.257344245910645,-15.229206562042236,,,,,,
-15.269740104675293,-15.277851104736328,-15.842461585998535,,,,,,,,,
-15.264738082885742,-15.412320613861084,-15.538878440856934,,,,,,,,,
-15.694474220275879,-14.89835786819458,-15.682929039001465,-15.01020622253418,,,,,,,,
-15.229072093963623,-15.448633670806885,,,,,,,,,,
-15.894940853118896,-15.721002101898193,-14.892055034637451,-15.515411853790283,-15.9712495803833,-15.733751773834229,,,,,,
-15.22847318649292,-15.306451797485352,-15.403407096862793,,,,,,,,,
-15.652388572692871,-15.037457942962646,,,,,,,,,,
-15.695133209228516,-15.487762451171875,-15.582339763641357,-16.189875602722168,,,,,,,,
-15.517407417297363,-16.062854766845703,-15.374100685119629,-15.609521865844727,,,,,,,,
-16.055938720703125,-16.13897132873535,-15.514307975769043,-15.615926265716553,,,,,,,,
-15.502872943878174,-15.29164457321167,-15.249033451080322,-15.788264274597168,-15.159432888031006,-15.896983623504639,,,,,,
-15.77514123916626,-15.308382511138916,-16.014930725097656,-15.607134342193604,-15.335790634155273,,,,,,,
-15.236289024353027,-15.187661170959473,,,,,,,,,,
-15.102976322174072,-15.2051100730896,-15.306305885314941,-15.272215843200684,-15.577147006988525,-15.458931922912598,-16.00902795791626,-15.305222988128662,-15.679014205932617,-15.774858474731445,-15.360851764678955,
-16.197189331054688,-15.868621349334717,-15.418846130371094,-15.02520227432251,-15.859892845153809,,,,,,,
-14.858651638031006,-14.954108715057373,-15.744901180267334,-15.234669208526611,-16.220450401306152,-15.528133869171143,,,,,,
-15.164155006408691,,,,,,,,,,,
-15.36698293685913,-15.484182834625244,-15.379051685333252,-14.891334056854248,,,,,,,,
-15.471453666687012,-16.13157367706299,,,,,,,,,,
-15.93783950805664,-15.287199974060059,-15.425985336303711,-15.327242374420166,-15.274779319763184,-15.421583652496338,-15.667401313781738,,,,,
-15.742308616638184,-15.849156379699707,-15.310869216918945,-15.794154644012451,,,,,,,,
-15.400691509246826,-14.842026233673096,,,,,,,,,,
-15.22033405303955,-14.823815822601318,,,,,,,,,,
-15.357765674591064,-16.194162368774414,-16.16152286529541,-16.11348056793213,,,,,,,,
-15.859214782714844,-15.282713890075684,-15.699596405029297,-14.804282665252686,-15.830902099609375,-15.728705406188965,-16.06415557861328,,,,,
-15.80377721786499,-14.891625881195068,-15.36901569366455,,,,,,,,,
-15.792074203491211,-15.261390686035156,-15.311090469360352,-15.756793975830078,-15.540323257446289,-15.694694519042969,,,,,,
-15.42042875289917,-14.682468891143799,-15.575077056884766,-15.953882694244385,-15.577517986297607,-15.458693027496338,-14.839591979980469,-15.803754329681396,,,,
-15.39026165008545,-15.502673149108887,-15.899885654449463,,,,,,,,,
-15.673592567443848,-15.447403907775879,-15.191476345062256,,,,,,,,,
-15.995418548583984,-15.369019031524658,-15.457380771636963,-15.77729320526123,-15.00776195526123,-15.9984712600708,-15.533060550689697,,,,,
-15.385025024414062,-15.555739402770996,-15.429619312286377,-15.89708423614502,-15.563556671142578,-15.019917488098145,-15.585285186767578,-15.695133209228516,,,,
-16.21939468383789,-15.01348876953125,-14.496905326843262,-15.410972595214844,-15.775924682617188,-15.07833194732666,,,,,,
-15.10410213470459,-15.17488431930542,-15.478614807128906,-15.994894027709961,-15.524284839630127,-15.524357795715332,-15.192895889282227,,,,,
-15.62675952911377,-15.360851764678955,-15.075576782226562,-15.838546752929688,-15.152219295501709,,,,,,,
-15.841862678527832,-16.037830352783203,-15.720035076141357,,,,,,,,,
-16.140019416809082,-15.720276832580566,-15.651010036468506,-15.362730503082275,,,,,,,,
-14.888572216033936,-15.35007095336914,-15.228956699371338,-15.48258924484253,-15.71284008026123,-15.880200862884521,,,,,,
-16.195026397705078,-16.20795249938965,-15.515506744384766,-14.648911476135254,-15.450303077697754,-15.748478412628174,,,,,,
-15.713289737701416,-15.905885219573975,-15.491457462310791,-15.805171012878418,,,,,,,,
-14.5660400390625,-15.240461826324463,-15.391597747802734,-14.9882493019104,-15.847840785980225,-15.968183994293213,,,,,,
-15.54221773147583,-15.441285610198975,-15.026287078857422,-15.805556297302246,-15.668865203857422,-15.395328998565674,,,,,,
-14.987199783325195,-15.881481170654297,-15.466171741485596,-14.942954540252686,,,,,,,,
-15.604444026947021,-15.563500881195068,-15.432509899139404,-15.45836877822876,,,,,,,,
-15.93154764175415,-15.474137783050537,-14.996824741363525,-15.714770793914795,-15.272449016571045,-15.3839750289917,-14.550024509429932,-15.424672603607178,-15.07066822052002,,,
-15.535481452941895,-15.968230247497559,-15.774841785430908,-15.03958511352539,,,,,,,,
-15.43950605392456,-15.766719818115234,-15.426419258117676,-14.83466386795044,-15.3204927444458,,,,,,,
-15.372947216033936,-15.9082932472229,-15.220588684082031,,,,,,,,,
-16.183812141418457,-15.409607887268066,-15.741884231567383,,,,,,,,,
-15.23395824432373,-15.680542945861816,-15.512397289276123,-15.103801250457764,-15.571290969848633,-15.10953140258789,-15.476484775543213,,,,,
-16.05061626434326,-15.874886989593506,-15.2787184715271,-14.836780548095703,-15.438498497009277,-15.91516923904419,,,,,,
-15.806287288665771,-14.685210227966309,-15.309031963348389,-15.875207424163818,-15.447819709777832,-15.400683879852295,-15.408114433288574,-14.86959981918335,-16.064977645874023,,,
-14.950724601745605,-15.412374496459961,-15.671648979187012,-15.198955059051514,,,,,,,,
-15.61500883102417,-15.43292236328125,-15.118729591369629,-15.763033390045166,,,,,,,,
-15.773919105529785,-15.42467451095581,-15.484385967254639,-15.886781215667725,,,,,,,,
-16.21939468383789,-15.450706005096436,-15.973927021026611,-15.814635753631592,-15.26822280883789,-15.24414348602295,-15.381759643554688,,,,,
-15.64140272140503,-14.976368427276611,-15.551948547363281,,,,,,,,,
-15.151401996612549,-15.49122667312622,-15.453825950622559,-14.97622299194336,-15.330769538879395,,,,,,,
-15.560702800750732,-15.484912872314453,-15.03440523147583,,,,,,,,,
-15.697542667388916,-15.39674186706543,-15.435786247253418,-16.186260223388672,,,,,,,,
-15.537928104400635,-15.038126945495605,-16.164742469787598,,,,,,,,,
-15.303079605102539,-14.925450801849365,-15.432755470275879,-15.01020622253418,-15.764424324035645,-15.305641174316406,-15.12925100326538,-15.763033390045166,,,,
-14.968645095825195,-15.291892528533936,-16.01819896697998,-15.194472789764404,-15.874897956848145,-14.778190612792969,-15.6003999710083,,,,,
-15.966171741485596,-15.43528127670288,-15.225951194763184,-14.959463119506836,,,,,,,,
-15.89356279373169,-15.877242088317871,-15.457517623901367,-15.29599142074585,-15.684571266174316,-16.21697425842285,,,,,,
-15.225111484527588,-14.89596700668335,-15.258742809295654,-15.866947174072266,-16.074307441711426,-15.634783267974854,,,,,,
-15.159152507781982,-15.08858585357666,-15.475361347198486,,,,,,,,,
-15.174460887908936,-16.12798023223877,-15.375174522399902,-15.38484811782837,-15.58381462097168,-15.090095520019531,-15.619040489196777,-15.82703971862793,,,,
-15.254721641540527,-15.927926540374756,-15.73195505142212,-15.633312702178955,,,,,,,,
-15.559461116790771,-15.60692548751831,-15.65914249420166,-15.715737342834473,-16.04704523086548,-15.830918788909912,-14.646323204040527,-14.902358531951904,-14.759295463562012,-15.48792552947998,-15.202756881713867,
-14.921194076538086,-14.645084857940674,-15.163579940795898,,,,,,,,,
