0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2.7871698141098022,2.087913990020752,2.2771565914154053,2.976854681968689,3.5147045850753784,3.1782729625701904,4.483211040496826,4.211605548858643,5.3371641635894775,4.080440282821655,4.365168809890747,5.013731479644775,,,,,,,,,,,,,
3.464748740196228,3.198922872543335,2.7296855449676514,4.769674062728882,3.982451319694519,3.7947670221328735,5.821770429611206,5.44920802116394,5.346360206604004,7.061990737915039,4.017145156860352,3.7877196073532104,,,,,,,,,,,,,
5.103672027587891,4.475436449050903,6.851632833480835,3.724131226539612,3.202032446861267,3.965898275375366,5.172763347625732,5.119678258895874,3.969503402709961,5.432140827178955,4.442923307418823,3.7220118045806885,3.8750303983688354,3.2929062843322754,3.0943042039871216,4.690104722976685,2.850227952003479,6.244116306304932,4.423423767089844,3.763708233833313,5.779551982879639,4.443542003631592,,,
3.7910985946655273,2.8750505447387695,3.3858745098114014,5.737791061401367,4.781120777130127,5.043031454086304,3.070554733276367,4.749776601791382,4.216314792633057,2.994898200035095,3.002729654312134,3.8053829669952393,3.9915237426757812,3.2389057874679565,3.360911011695862,3.882416248321533,3.9500513076782227,3.360953688621521,5.568543195724487,,,,,,
2.823593258857727,4.321309804916382,7.553874969482422,5.932735204696655,3.136827230453491,2.216056227684021,3.097881317138672,2.6241742372512817,3.9611833095550537,4.657706260681152,3.1935774087905884,4.0847086906433105,3.3282339572906494,5.1099419593811035,3.428889751434326,4.325820446014404,3.6924062967300415,4.6134114265441895,3.649392247200012,3.969447374343872,5.18404746055603,5.2956297397613525,,,
3.6038891077041626,2.803475260734558,2.551297426223755,3.236489772796631,3.808892607688904,4.495477914810181,3.894940495491028,7.050478458404541,5.342666864395142,5.132532358169556,4.729029178619385,5.596604108810425,4.746773719787598,3.842050790786743,6.352501392364502,,,,,,,,,,
3.8822511434555054,3.2779582738876343,4.637793302536011,3.8755050897598267,3.29121732711792,6.494914293289185,7.004319429397583,5.933051586151123,3.9695411920547485,3.625400424003601,3.134610891342163,3.333877921104431,3.3511502742767334,2.8420709371566772,,,,,,,,,,,
3.8069114685058594,3.158439517021179,3.489951491355896,4.83432149887085,4.461963176727295,7.2065818309783936,6.153514385223389,4.435832977294922,5.502967596054077,4.449870824813843,3.2947016954421997,3.4657630920410156,2.8520455360412598,3.478428363800049,2.546919584274292,,,,,,,,,,
2.871370553970337,3.913147449493408,4.0257638692855835,3.850767135620117,3.189015746116638,5.020342826843262,3.689096450805664,3.576998472213745,4.843174695968628,3.428521156311035,4.392836093902588,5.213148832321167,6.158545017242432,3.8481924533843994,5.33358907699585,5.2274205684661865,4.166964054107666,2.8509464263916016,,,,,,,
3.4670811891555786,3.5689048767089844,5.838147163391113,5.165259838104248,5.163815021514893,3.9874794483184814,3.287169337272644,2.2178539037704468,2.5438164472579956,3.726470708847046,,,,,,,,,,,,,,,
