Name,0%,25%,50%,75%,100%,Mean
SLR 2020 first split,1.714082419872284,2.7387798130512238,2.9430813789367676,3.239540994167328,7.4825520515441895,3.0742982676029205
SLR 2025 first split,1.729862630367279,2.6966335773468018,3.0853241682052612,3.2482845783233643,7.496500253677368,3.069517863512039
SLR 2030 first split,2.15316903591156,2.826749235391617,3.195156991481781,3.2547062635421753,7.089941740036011,3.0509388184547426
SLR 2035 first split,1.8517996072769165,2.865278571844101,3.2657644152641296,3.5861376225948334,5.8388285636901855,3.2550569829940796
SLR 2040 first split,2.2001901865005493,2.919762283563614,3.4417837262153625,3.526947945356369,7.426174163818359,3.3098841218948363
SLR 2045 first split,2.21834135055542,2.845373511314392,3.474271535873413,3.8479971885681152,7.155702590942383,3.403073519706726
SLR 2050 first split,2.182853937149048,3.260321468114853,3.6725836992263794,3.799030363559723,4.469145774841309,3.535286560535431
SLR 2055 first split,2.1741517782211304,3.3219171166419983,3.764061689376831,3.869839906692505,5.9956464767456055,3.6317957248687742
SLR 2060 first split,2.154828906059265,3.2716974020004272,3.4917562007904053,3.745740592479706,7.399355173110962,3.579216142177582
SLR 2065 first split,2.175982713699341,3.2432504296302795,3.5323846340179443,3.6573957204818726,8.343141078948975,3.563155650138855
SLR 2070 first split,2.1689051389694214,3.1343952417373657,3.5343379378318787,3.6953572928905487,7.497208595275879,3.4551175107955934
SLR 2075 first split,2.144660234451294,3.011303037405014,3.4741379022598267,3.6955666542053223,5.316205024719238,3.3455439076423645
SLR 2080 first split,2.131764054298401,2.8730679154396057,3.15676748752594,3.54632306098938,7.377459526062012,3.3096457462310793
SLR 2085 first split,2.130557656288147,2.981693923473358,3.130011558532715,3.4047656655311584,9.293994903564453,3.265778763771057
SLR 2090 first split,2.157196879386902,2.9740923941135406,3.216454327106476,3.5366906225681305,9.08591079711914,3.333938563346863
SLR 2095 first split,2.115501284599304,3.0195244550704956,3.190790891647339,3.70527920126915,9.025422096252441,3.44366201543808
SLR 2100 first split,2.130557656288147,2.9766617119312286,3.1548068523406982,3.669542133808136,7.121131420135498,3.324112949371338
SLR 2105 first split,2.130009651184082,2.987415313720703,3.1973448991775513,3.6805129647254944,9.126795291900635,3.400933923244476
SLR 2110 first split,2.058083951473236,3.0050054490566254,3.087988495826721,3.5475953817367554,6.71296763420105,3.303530403852463
SLR 2115 first split,2.1312267780303955,3.0282047390937805,3.196047306060791,3.537417948246002,9.018764019012451,3.317357346534729
SLR 2120 first split,1.9047492742538452,2.9212979078292847,3.305573046207428,3.7590152621269226,7.817525386810303,3.4315361602306367
SLR 2125 first split,2.1454986333847046,3.014906257390976,3.1742998361587524,3.7184733152389526,6.100553750991821,3.346316781044006
SLR 2130 first split,2.2327702045440674,3.007724493741989,3.2298130989074707,3.768891453742981,8.798453330993652,3.4633596639633177
SLR 2135 first split,2.154602885246277,2.9686589539051056,3.19640851020813,3.535005062818527,8.923711776733398,3.260040400505066
SLR 2140 first split,1.900298535823822,2.8037096858024597,3.1771811842918396,3.554212212562561,9.239834785461426,3.3818250331878663
SLR 2145 first split,2.158655047416687,2.9251725375652313,3.132319986820221,3.5192407071590424,8.450783729553223,3.300018970012665
SLR 2150 first split,2.012439727783203,2.9901280999183655,3.185972511768341,3.5368363559246063,8.549690246582031,3.3328773617744445
