0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3.5676485300064087,2.989134669303894,3.166601061820984,3.797455906867981,4.065195083618164,3.0082114934921265,4.295513153076172,3.5935381650924683,6.58204460144043,4.527796030044556,4.316022157669067,3.8967506885528564,3.369400143623352,3.5918307304382324,3.4478126764297485,4.966718912124634,5.0144944190979,6.264888286590576,4.966782569885254,5.587172269821167,,,,
3.8067697286605835,3.2156585454940796,2.827617883682251,3.4600918292999268,3.3023643493652344,3.5338504314422607,3.313322067260742,3.38852858543396,4.449833631515503,4.024264812469482,4.947720289230347,4.3734354972839355,4.055119752883911,4.1683666706085205,6.197641134262085,4.870110511779785,6.877974271774292,,,,,,,
3.205876588821411,3.6282448768615723,3.8155295848846436,3.6226603984832764,3.367734432220459,3.6246742010116577,4.088348865509033,3.7407326698303223,4.413541793823242,4.973744630813599,5.414561986923218,6.942129135131836,5.54714822769165,3.588013172149658,4.916521310806274,4.488461971282959,4.652244806289673,4.590711832046509,4.376530408859253,4.227142333984375,6.004241704940796,,,
3.2022231817245483,2.9462499618530273,3.6343746185302734,4.01227593421936,4.4029786586761475,4.688118934631348,4.917936086654663,4.0367820262908936,6.065961122512817,6.860802173614502,,,,,,,,,,,,,,
3.4865448474884033,3.1919991970062256,3.713188648223877,3.179065227508545,3.5159459114074707,3.0563160181045532,3.5606329441070557,3.963017702102661,3.337689995765686,3.696973204612732,3.1995807886123657,4.060277223587036,4.659970045089722,5.154597997665405,4.981603384017944,4.481120824813843,4.532753229141235,5.993048429489136,6.280813694000244,8.431509017944336,5.3920910358428955,6.589572429656982,,
2.7057024240493774,3.569759964942932,4.441282272338867,3.7203739881515503,4.088320732116699,3.709902763366699,4.398603677749634,3.176453948020935,3.793463706970215,4.331690549850464,4.904172658920288,4.590711832046509,4.376257419586182,5.9734296798706055,7.937132358551025,5.834517955780029,9.167524337768555,,,,,,,
3.807184100151062,3.2156585454940796,2.8986552953720093,3.2977006435394287,3.7088406085968018,3.7254996299743652,3.459385633468628,4.451612710952759,8.201603412628174,7.187451601028442,6.490809202194214,5.122762203216553,4.065320730209351,4.579094886779785,6.738250255584717,7.972565412521362,6.18803596496582,7.916248798370361,4.614925146102905,4.727620363235474,4.229997634887695,,,
3.215183973312378,2.9103033542633057,3.569029927253723,3.5800516605377197,3.6217790842056274,4.121784687042236,3.7830926179885864,5.062077522277832,4.10470724105835,4.94905161857605,4.973744630813599,4.906652450561523,5.010660648345947,5.185291767120361,6.364999771118164,5.2443602085113525,4.269757270812988,3.593291401863098,4.8637518882751465,,,,,
4.023885250091553,2.9025840759277344,3.5665258169174194,3.300262451171875,3.2020848989486694,4.9246132373809814,4.4047605991363525,5.972681760787964,4.871474266052246,5.82748007774353,6.197641134262085,7.05121636390686,6.677247524261475,6.182085037231445,,,,,,,,,,
3.809320330619812,3.2547723054885864,2.832664370536804,3.4379382133483887,3.2022231817245483,3.5645248889923096,3.4857094287872314,6.269526958465576,4.419603109359741,4.871474266052246,4.555518627166748,3.9581717252731323,5.711341381072998,4.258824586868286,4.83655571937561,6.608557224273682,,,,,,,,
