Name,0%,25%,50%,75%,100%,Mean
RCP 8.5 2020 all splits,1.6617357730865479,2.530140697956085,3.247680127620697,5.003352224826813,9.86011266708374,3.9114410221661418
RCP 8.5 2030 all splits,2.018278658390045,2.8058212995529175,3.0967536568641663,4.479979693889618,9.716502666473389,3.714176049227771
RCP 8.5 2040 all splits,2.1207587718963623,2.7379831075668335,3.4914345741271973,4.4391186237335205,9.56022596359253,3.884140764491076
RCP 8.5 2050 all splits,2.175883412361145,3.143281936645508,4.075542449951172,5.089962959289551,8.635958671569824,4.307701059045858
RCP 8.5 2060 all splits,2.168686270713806,2.979913592338562,3.6429121494293213,5.710111856460571,9.687826156616211,4.2170374802831025
RCP 8.5 2070 all splits,2.161278247833252,2.9239721298217773,3.373316168785095,4.755377531051636,9.018764019012451,3.8990664222206375
RCP 8.5 2080 all splits,2.225790023803711,2.7804540395736694,3.4672203063964844,5.2256762981414795,9.763435363769531,4.029977672393119
RCP 8.5 2090 all splits,2.1571213006973267,2.9969245195388794,3.6441760659217834,4.9230804443359375,9.203742980957031,4.0534294433708
RCP 8.5 2100 all splits,2.1216717958450317,3.133756637573242,3.7023041248321533,5.286625623703003,8.581450939178467,4.1153559993881
RCP 8.5 2110 all splits,2.053407311439514,3.0504177808761597,3.5316742658615112,4.858595609664917,9.269049167633057,3.980381036549488
RCP 8.5 2120 all splits,2.0653669834136963,3.2302517890930176,3.801558017730713,5.35015082359314,8.986287593841553,4.347469429776653
RCP 8.5 2130 all splits,2.1926687955856323,3.0248310565948486,3.640285611152649,5.35015082359314,9.239834785461426,4.067359178267045
RCP 8.5 2140 all splits,2.1444344520568848,2.9680107831954956,3.3065911531448364,4.9026288986206055,9.637255668640137,3.882323892855169
RCP 8.5 2150 all splits,2.0115500688552856,3.0832492113113403,3.805975556373596,5.7188026905059814,9.396535873413086,4.416640680166011
