0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
3.34304141998291,3.502245545387268,4.7545857429504395,4.014356851577759,4.153464078903198,4.226635456085205,3.5874228477478027,3.1648001670837402,5.718079566955566,4.517119884490967,6.050353765487671,,,,,,,,,,,,,,,,
3.503572463989258,3.0830652713775635,3.4167232513427734,3.3659090995788574,3.372294545173645,3.4238362312316895,2.992006301879883,4.45695424079895,3.639746904373169,3.3611429929733276,4.8325440883636475,5.70141339302063,4.039602518081665,7.413524150848389,6.4874842166900635,4.266806364059448,,,,,,,,,,,
3.251031517982483,3.9739086627960205,3.8055126667022705,3.430540442466736,4.971949338912964,6.027406692504883,4.494549989700317,5.964877605438232,4.09066104888916,4.5059521198272705,3.7200918197631836,4.948590040206909,2.993971347808838,4.62540340423584,,,,,,,,,,,,,
2.589252471923828,3.1761367321014404,2.6960561275482178,3.558173656463623,3.604829788208008,5.533233404159546,6.05218768119812,4.856702566146851,4.0957512855529785,4.229985237121582,3.558846116065979,3.7756365537643433,3.545113205909729,5.384815692901611,4.150397777557373,6.413192272186279,5.6754231452941895,,,,,,,,,,
4.377336263656616,3.517643928527832,5.699610471725464,2.8287413120269775,3.208513379096985,3.918349504470825,3.93388032913208,4.305222511291504,3.019413709640503,3.210600972175598,3.510691285133362,4.231108903884888,4.916569709777832,6.084118366241455,,,,,,,,,,,,,
4.037786483764648,3.155270576477051,3.176790714263916,2.921941876411438,3.004423499107361,3.557485342025757,3.332172393798828,3.6103808879852295,6.377380847930908,5.508313417434692,5.638574123382568,4.5737810134887695,4.580326080322266,5.842344284057617,,,,,,,,,,,,,
4.036374092102051,3.4941117763519287,3.1874523162841797,2.8522979021072388,2.6891061067581177,3.585462212562561,3.695048451423645,5.103524446487427,4.408545732498169,5.6132848262786865,5.409301996231079,4.910629749298096,4.584880590438843,6.537225008010864,6.994863510131836,,,,,,,,,,,,
4.200769901275635,3.5176695585250854,3.588013172149658,3.0787346363067627,3.8430566787719727,6.504373550415039,5.208983421325684,4.866821050643921,4.210131645202637,5.1711509227752686,4.004902482032776,2.9730396270751953,3.132630467414856,3.623512387275696,4.417797565460205,3.9003220796585083,,,,,,,,,,,
4.1936609745025635,3.8940593004226685,3.2035645246505737,3.0851633548736572,4.12489914894104,4.751668930053711,5.090224027633667,6.510730028152466,5.9187891483306885,3.090420365333557,3.9415632486343384,4.903691053390503,4.195934295654297,5.612772703170776,4.275036573410034,3.6219170093536377,2.9836671352386475,5.7128095626831055,,,,,,,,,
3.809127926826477,3.1323434114456177,3.251069664955139,3.1175707578659058,3.0861088037490845,4.560253858566284,5.210777759552002,4.134460926055908,6.306299924850464,4.691443920135498,4.77381443977356,5.738884925842285,4.973183631896973,4.808580636978149,4.756027936935425,,,,,,,,,,,,
