Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
366,"('a_simple.slr_brick', -0.8820203542709351)","('S.temperature', 2.8646737337112427)","('alpha_simple.slr_brick', 0.0004506104887695983)","('beta0_gsic.slr_brick', 0.0007956348999869078)","('lambda_dais.slr_brick', 0.0147102908231318)","('a_tee.slr_brick', 0.08427859097719193)","('mu_dais.slr_brick', 7.593900680541992)","('rho.slr_gsic_obs', 0.3848327249288559)","('nu_dais.slr_brick', 0.01473222952336073)",,,,
367,"('rho.slr_gsic_obs', 0.9835160672664642)","('a_anto.slr_brick', 0.02688234392553568)","('Tcrit_dais.slr_brick', -14.565589904785156)","('P0_dais.slr_brick', 0.2917976528406143)","('gamma_dais.slr_brick', 4.172127723693848)","('c_dais.slr_brick', 114.64083099365234)","('a_anto.slr_brick', 0.2030443474650383)","('nu_dais.slr_brick', 0.010843373369425535)","('b0_dais.slr_brick', 755.2518615722656)","('slope_dais.slr_brick', 0.0005517385143321007)",,,
368,"('a_tee.slr_brick', 0.09921248629689217)","('S.temperature', 3.7347341775894165)","('a_tee.slr_brick', 0.08331069350242615)","('mu_dais.slr_brick', 13.087381839752197)","('a_tee.slr_brick', 0.09711042046546936)",,,,,,,,
369,"('S.temperature', 2.9687224626541138)","('rho.Tgav_obs', 0.444299653172493)","('S.temperature', 3.8967506885528564)","('P0_dais.slr_brick', 0.17777162045240402)",,,,,,,,,
370,"('diff.temperature', 1.628341257572174)","('beta0_gsic.slr_brick', 0.0007731294026598334)","('S.temperature', 4.204112768173218)","('b_simple.slr_brick', 7.735721826553345)","('a_anto.slr_brick', 0.4274386167526245)","('h0_dais.slr_brick', 1816.5540771484375)",,,,,,,
371,"('alpha.temperature', 0.9899336397647858)","('a_anto.slr_brick', 0.48876458406448364)","('a_tee.slr_brick', 0.10034839436411858)","('diff.temperature', 1.9120628833770752)","('sigma.slr_gsic_obs', 0.000589303148444742)",,,,,,,,
372,"('b_simple.slr_brick', 7.585075616836548)","('diff.temperature', 3.6903244256973267)","('Tcrit_dais.slr_brick', -15.64054012298584)",,,,,,,,,,
373,"('rho.slr_gsic_obs', 0.9615056216716766)","('diff.temperature', 1.808407187461853)","('b_simple.slr_brick', 8.159368991851807)","('a_simple.slr_brick', -3.700182557106018)","('a_tee.slr_brick', 0.0992097407579422)",,,,,,,,
374,"('h0_dais.slr_brick', 1419.1083374023438)","('S.temperature', 3.6531589031219482)","('alpha_simple.slr_brick', 0.0006538984598591924)","('h0_dais.slr_brick', 1205.56103515625)","('a_tee.slr_brick', 0.11967279389500618)","('b0_dais.slr_brick', 770.1116638183594)",,,,,,,
375,"('a_simple.slr_brick', -0.8225559294223785)",,,,,,,,,,,,
376,"('rho.slr_gis_obs', 0.9620913863182068)","('S.temperature', 3.6483975648880005)","('alpha.temperature', 0.9702081382274628)","('a_simple.slr_brick', -0.8815699517726898)","('sigma.slr_gsic_obs', 0.00033792607428040355)","('b_anto.slr_brick', 1.9353359937667847)","('beta0_gsic.slr_brick', 0.0010434318101033568)","('slope_dais.slr_brick', 0.0006543066119775176)","('b_simple.slr_brick', 8.036167621612549)",,,,
377,"('S.temperature', 2.8646751642227173)","('P0_dais.slr_brick', 1.2551295757293701)","('beta0_gsic.slr_brick', 0.000849624426336959)","('alpha_simple.slr_brick', 0.0001449213596060872)","('b_anto.slr_brick', 0.7188545167446136)",,,,,,,,
378,"('alpha_simple.slr_brick', 0.0003577556926757097)","('S.temperature', 3.630994200706482)","('b_anto.slr_brick', 0.7682507634162903)","('P0_dais.slr_brick', 0.30384840071201324)","('slope_dais.slr_brick', 0.0006739400560036302)","('b_anto.slr_brick', 0.16078902035951614)","('Gs0_gsic.slr_brick', -0.0015829378389753401)","('rho.Tgav_obs', 0.505694717168808)","('P0_dais.slr_brick', 0.3488461822271347)",,,,
379,"('a_simple.slr_brick', -0.8790686428546906)","('alpha.temperature', 0.8802418112754822)","('alpha_simple.slr_brick', 0.0003841200523311272)","('a_anto.slr_brick', 0.9741067290306091)","('beta_simple.slr_brick', 0.00044914915633853525)",,,,,,,,
380,"('beta0_gsic.slr_brick', 0.0008540638955309987)","('a_anto.slr_brick', 0.22010596841573715)","('alpha.temperature', 0.9898563027381897)","('rho.Tgav_obs', 0.5523038506507874)","('mu_dais.slr_brick', 12.388761520385742)","('offset.Tgav_obs', -0.06682334467768669)","('alpha.temperature', 1.247270405292511)","('b_anto.slr_brick', 0.051316527649760246)","('alpha_simple.slr_brick', 0.00031421135645359755)","('a_anto.slr_brick', 0.2945287972688675)","('sigma.slr_gsic_obs', 6.568763274117373e-05)",,
381,"('diff.temperature', 1.6292991042137146)","('a_anto.slr_brick', 0.4025822579860687)","('beta0_gsic.slr_brick', 0.0006793235952500254)","('lambda_dais.slr_brick', 0.009190224576741457)","('a_tee.slr_brick', 0.11292128264904022)","('b_simple.slr_brick', 8.41673469543457)",,,,,,,
382,"('diff.temperature', 1.6554596424102783)","('a_simple.slr_brick', -0.801591545343399)","('slope_dais.slr_brick', 0.0005692894046660513)","('f0_dais.slr_brick', 1.2655526995658875)","('a_tee.slr_brick', 0.1351681351661682)","('alpha.temperature', 0.8966472744941711)","('a_anto.slr_brick', 0.6561353504657745)","('nu_dais.slr_brick', 0.014632214792072773)","('alpha_dais.slr_brick', 0.2148003727197647)","('alpha_dais.slr_brick', 0.2290777713060379)","('P0_dais.slr_brick', 0.33420364558696747)","('c_dais.slr_brick', 94.01409530639648)",
383,"('diff.temperature', 1.6561397910118103)","('slope_dais.slr_brick', 0.0005687363154720515)","('alpha.temperature', 0.990311324596405)","('a_tee.slr_brick', 0.0831860676407814)","('offset.Tgav_obs', -0.01281033968552947)","('a_tee.slr_brick', 0.10090433433651924)","('V0_gsic.slr_brick', 0.3083795756101608)","('sigma.Tgav_obs', 0.08794520795345306)",,,,,
384,"('b_simple.slr_brick', 7.645714044570923)","('diff.temperature', 1.6265372037887573)","('rho.slr_gis_obs', 0.962790846824646)","('P0_dais.slr_brick', 0.2510399669408798)","('kappa_dais.slr_brick', 0.07467901334166527)","('c_dais.slr_brick', 129.93199157714844)","('Gs0_gsic.slr_brick', -0.002756670583039522)","('S.temperature', 2.762577772140503)","('S.temperature', 5.818907737731934)","('a_tee.slr_brick', 0.10210629925131798)",,,
385,"('a_anto.slr_brick', 0.5423081517219543)","('S.temperature', 3.2010676860809326)","('alpha.temperature', 1.1594271659851074)","('slope_dais.slr_brick', 0.0006998227909207344)","('a_simple.slr_brick', -1.680687129497528)","('b0_dais.slr_brick', 811.1138610839844)","('nu_dais.slr_brick', 0.013704221695661545)","('Gs0_gsic.slr_brick', 0.0003826172469416633)",,,,,
386,"('S.temperature', 3.247749447822571)","('S.temperature', 4.151623964309692)","('b_simple.slr_brick', 7.656996250152588)","('P0_dais.slr_brick', 0.1927521452307701)","('rho.Tgav_obs', 0.3444969207048416)","('offset.Tgav_obs', 0.01621910836547613)","('offset.Tgav_obs', -0.04526922665536404)","('alpha.temperature', 1.134863257408142)","('rho.slr_gis_obs', 0.891631543636322)","('beta_simple.slr_brick', 5.3329011279856786e-05)","('V0_simple.slr_brick', 7.530001401901245)",,
387,"('beta0_gsic.slr_brick', 0.0008059561951085925)","('a_tee.slr_brick', 0.08321670815348625)","('slope_dais.slr_brick', 0.0005753069999627769)","('gamma_dais.slr_brick', 2.3952407836914062)","('a_simple.slr_brick', -3.5887367725372314)","('rho.slr_gis_obs', 0.9280182123184204)","('h0_dais.slr_brick', 1973.7106323242188)",,,,,,
388,"('P0_dais.slr_brick', 0.3195449560880661)","('alpha.temperature', 0.9708373546600342)","('b_simple.slr_brick', 7.54648494720459)","('offset.Tgav_obs', -0.005483427084982395)","('beta0_gsic.slr_brick', 0.0009334678470622748)",,,,,,,,
389,"('S.temperature', 3.707411050796509)","('a_anto.slr_brick', 0.54234579205513)","('S.temperature', 4.161338806152344)","('rho.slr_gis_obs', 0.9488252103328705)","('sigma.slr_gsic_obs', 0.00019472332496661693)","('beta0_gsic.slr_brick', 0.0005278972967062145)","('slope_dais.slr_brick', 0.0005508624308276922)","('rho.slr_gis_obs', 0.9389747083187103)","('a_tee.slr_brick', 0.10988973826169968)","('a_anto.slr_brick', 0.03306946065276861)",,,
390,"('beta0_gsic.slr_brick', 0.0008847231511026621)","('a_simple.slr_brick', -0.8786704540252686)","('slope_dais.slr_brick', 0.0005987471377011389)","('gamma_dais.slr_brick', 0.6593086123466492)","('diff.temperature', 1.628426969051361)","('b_simple.slr_brick', 7.543360233306885)","('f0_dais.slr_brick', 0.715074211359024)","('Tcrit_dais.slr_brick', -16.19144058227539)","('a_tee.slr_brick', 0.10060599446296692)","('sigma.Tgav_obs', 0.06807092949748039)","('V0_simple.slr_brick', 7.244124889373779)","('Tcrit_dais.slr_brick', -15.561587810516357)",
391,"('beta0_gsic.slr_brick', 0.0008542684372514486)","('a_tee.slr_brick', 0.09708606079220772)","('slope_dais.slr_brick', 0.0005985451571177691)","('S.temperature', 3.2931363582611084)","('V0_gsic.slr_brick', 0.36820246279239655)","('rho.slr_gis_obs', 0.9466868042945862)","('a_simple.slr_brick', -1.4193684458732605)","('sigma.Tgav_obs', 0.07543317973613739)","('P0_dais.slr_brick', 0.3972925841808319)",,,,
392,"('alpha.temperature', 0.8348201513290405)","('slope_dais.slr_brick', 0.0005690925172530115)","('beta0_gsic.slr_brick', 0.0010421735933050513)","('beta0_gsic.slr_brick', 0.0004243346193106845)","('S.temperature', 3.704042673110962)","('alpha.temperature', 1.152285635471344)","('n_gsic.slr_brick', 0.8773894309997559)","('b_simple.slr_brick', 7.657747268676758)","('kappa_dais.slr_brick', 0.048858216032385826)","('slope_dais.slr_brick', 0.0006618941260967404)","('V0_gsic.slr_brick', 0.4454246759414673)",,
393,"('beta0_gsic.slr_brick', 0.0009366005542688072)","('diff.temperature', 1.8084754347801208)","('b_anto.slr_brick', 0.9302360713481903)","('beta0_gsic.slr_brick', 0.0006537721201311797)","('b_anto.slr_brick', 1.1413553953170776)",,,,,,,,
394,"('b_simple.slr_brick', 7.426108360290527)","('S.temperature', 2.8816407918930054)","('slope_dais.slr_brick', 0.0005639287119265646)","('n_gsic.slr_brick', 0.9345797300338745)","('S.temperature', 6.37921404838562)","('h0_dais.slr_brick', 2001.2996826171875)","('offset.Tgav_obs', -0.03195490874350071)","('V0_gsic.slr_brick', 0.4436180889606476)","('slope_dais.slr_brick', 0.0006054397381376475)",,,,
395,"('lambda_dais.slr_brick', 0.005251980386674404)","('diff.temperature', 1.8420420289039612)","('b_simple.slr_brick', 7.645659923553467)","('a_anto.slr_brick', 0.48447586596012115)","('a_tee.slr_brick', 0.08555195480585098)","('slope_dais.slr_brick', 0.000584205670747906)","('alpha_dais.slr_brick', 0.27220235764980316)","('a_simple.slr_brick', -1.9524956941604614)","('b_anto.slr_brick', 0.40785427391529083)","('sigma.slr_gsic_obs', 0.0005603570316452533)","('alpha.temperature', 0.9773550629615784)","('V0_gsic.slr_brick', 0.36423903703689575)",
396,"('V0_gsic.slr_brick', 0.3085995614528656)","('alpha_simple.slr_brick', 0.00039651073166169226)","('rho.slr_gsic_obs', 0.779131293296814)",,,,,,,,,,
397,"('a_tee.slr_brick', 0.08444395288825035)","('V0_gsic.slr_brick', 0.49354538321495056)","('gamma_dais.slr_brick', 4.235321044921875)","('diff.temperature', 3.974355101585388)",,,,,,,,,
398,"('slope_dais.slr_brick', 0.0005989538040012121)","('beta0_gsic.slr_brick', 0.0007942303491290659)","('a_simple.slr_brick', -1.1615212559700012)","('a_tee.slr_brick', 0.08917547762393951)","('alpha_dais.slr_brick', 0.6489581763744354)","('gamma_dais.slr_brick', 3.873732566833496)",,,,,,,
399,"('Tcrit_dais.slr_brick', -14.417215347290039)","('rho.Tgav_obs', 0.5610476434230804)","('P0_dais.slr_brick', 0.29527588188648224)",,,,,,,,,,
400,"('S.temperature', 2.8059651851654053)","('alpha.temperature', 1.1599280834197998)","('alpha.temperature', 1.161198616027832)","('gamma_dais.slr_brick', 1.1096661686897278)","('b_simple.slr_brick', 7.7848780155181885)","('kappa_dais.slr_brick', 0.08087077736854553)","('beta0_gsic.slr_brick', 0.0009251284645870328)","('a_tee.slr_brick', 0.09305126965045929)","('P0_dais.slr_brick', 0.5043168216943741)","('diff.temperature', 2.567926526069641)","('c_dais.slr_brick', 90.91688537597656)",,
401,"('beta0_gsic.slr_brick', 0.001020926923956722)","('alpha.temperature', 0.9161962270736694)","('b0_dais.slr_brick', 815.740478515625)","('mu_dais.slr_brick', 11.325873851776123)","('a_simple.slr_brick', -0.8912776112556458)","('a_tee.slr_brick', 0.11472094058990479)","('rho.Tgav_obs', 0.3399738222360611)","('offset.Tgav_obs', -0.017086590640246868)","('kappa_dais.slr_brick', 0.0341226514428854)",,,,
402,"('diff.temperature', 1.8420420289039612)",,,,,,,,,,,,
403,"('V0_gsic.slr_brick', 0.4917996972799301)","('rho.slr_gis_obs', 0.9571182429790497)","('alpha.temperature', 0.787619560956955)","('beta0_gsic.slr_brick', 0.000730607338482514)","('a_tee.slr_brick', 0.08855663612484932)",,,,,,,,
404,"('b0_dais.slr_brick', 741.8071899414062)","('diff.temperature', 1.6107580661773682)","('alpha.temperature', 0.9844864308834076)","('P0_dais.slr_brick', 0.2583919167518616)","('beta0_gsic.slr_brick', 0.0008117658726405352)","('h0_dais.slr_brick', 2077.1805419921875)","('a_tee.slr_brick', 0.10501668602228165)","('S.temperature', 4.6427483558654785)","('gamma_dais.slr_brick', 1.9827077388763428)","('V0_simple.slr_brick', 7.36607813835144)","('nu_dais.slr_brick', 0.006665307329967618)","('a_tee.slr_brick', 0.11918577924370766)",
405,"('a_tee.slr_brick', 0.08677303791046143)","('kappa_dais.slr_brick', 0.079327542334795)",,,,,,,,,,,
406,"('S.temperature', 3.247749447822571)","('a_tee.slr_brick', 0.10430939868092537)","('P0_dais.slr_brick', 0.17123453319072723)","('n_gsic.slr_brick', 0.5663614869117737)","('offset.Tgav_obs', 0.004301059991121292)","('alpha.temperature', 1.1271595358848572)","('a_tee.slr_brick', 0.08330609276890755)","('b0_dais.slr_brick', 805.34130859375)",,,,,
407,"('alpha.temperature', 0.990727037191391)","('a_tee.slr_brick', 0.09918159991502762)","('P0_dais.slr_brick', 0.17764651030302048)","('offset.Tgav_obs', -0.002980510122142732)","('b0_dais.slr_brick', 748.7725219726562)","('f0_dais.slr_brick', 1.0991157293319702)","('offset.Tgav_obs', -0.005582201294600964)",,,,,,
408,"('Tcrit_dais.slr_brick', -16.200200080871582)","('P0_dais.slr_brick', 0.29514941573143005)","('alpha.temperature', 0.9846192300319672)","('Tcrit_dais.slr_brick', -15.188810348510742)","('b_anto.slr_brick', 0.1574242264032364)","('alpha_dais.slr_brick', 0.4425995498895645)","('offset.Tgav_obs', -0.03231877088546753)","('V0_simple.slr_brick', 7.363974332809448)",,,,,
409,"('S.temperature', 2.730543613433838)","('S.temperature', 3.2564836740493774)","('S.temperature', 5.793700695037842)","('mu_dais.slr_brick', 12.81937313079834)","('slope_dais.slr_brick', 0.0006262625392992049)","('alpha.temperature', 1.1468212604522705)","('gamma_dais.slr_brick', 2.342811107635498)","('a_simple.slr_brick', -1.6823729872703552)","('P0_dais.slr_brick', 0.17543894052505493)",,,,
410,"('mu_dais.slr_brick', 11.534787654876709)","('alpha.temperature', 0.8204472362995148)","('a_tee.slr_brick', 0.09505577012896538)","('Tcrit_dais.slr_brick', -14.871140956878662)","('rho.slr_gsic_obs', 0.982325941324234)","('S.temperature', 3.7015726566314697)","('kappa_dais.slr_brick', 0.08135609701275826)","('alpha_simple.slr_brick', 0.00013738434063270688)",,,,,
411,"('a_tee.slr_brick', 0.09848198294639587)","('beta0_gsic.slr_brick', 0.0009100233728531748)",,,,,,,,,,,
412,"('S.temperature', 3.194523334503174)","('slope_dais.slr_brick', 0.0006255587504711002)","('alpha.temperature', 1.0009358525276184)","('a_simple.slr_brick', -1.4511212706565857)","('alpha_simple.slr_brick', 0.00036449650360736996)","('Tcrit_dais.slr_brick', -16.16213035583496)","('a_tee.slr_brick', 0.10977738350629807)",,,,,,
413,"('beta0_gsic.slr_brick', 0.0007294358219951391)","('alpha.temperature', 0.7965623438358307)","('P0_dais.slr_brick', 0.2250211015343666)","('slope_dais.slr_brick', 0.0005686117510776967)","('sigma.Tgav_obs', 0.06780893355607986)","('h0_dais.slr_brick', 1773.8875122070312)","('gamma_dais.slr_brick', 3.336911201477051)","('a_tee.slr_brick', 0.08555195480585098)","('S.temperature', 3.6796646118164062)","('a_tee.slr_brick', 0.12765351682901382)","('sigma.slr_gsic_obs', 0.00025971980358008295)","('b_simple.slr_brick', 7.941452264785767)",
414,"('a_simple.slr_brick', -2.4122493267059326)","('diff.temperature', 2.5445876121520996)","('diff.temperature', 3.475744128227234)","('alpha.temperature', 0.9757329523563385)","('b_simple.slr_brick', 7.77392840385437)","('h0_dais.slr_brick', 1491.8965454101562)","('a_tee.slr_brick', 0.1045893207192421)","('alpha.temperature', 1.2039747834205627)","('alpha_dais.slr_brick', 0.5029855072498322)",,,,
415,"('alpha.temperature', 0.9899336397647858)","('a_simple.slr_brick', -2.3824479579925537)","('P0_dais.slr_brick', 0.19827625155448914)","('alpha_dais.slr_brick', 0.06588871777057648)",,,,,,,,,
416,"('P0_dais.slr_brick', 0.30427487194538116)","('S.temperature', 2.8726764917373657)","('a_tee.slr_brick', 0.10319757089018822)","('diff.temperature', 3.723310708999634)",,,,,,,,,
417,"('P0_dais.slr_brick', 0.29404085874557495)","('a_tee.slr_brick', 0.08501498401165009)","('S.temperature', 7.16870379447937)",,,,,,,,,,
418,"('S.temperature', 2.817846179008484)","('a_tee.slr_brick', 0.12959883362054825)","('a_tee.slr_brick', 0.08445838838815689)","('S.temperature', 3.6588902473449707)","('rho.slr_gis_obs', 0.9479088187217712)","('f0_dais.slr_brick', 0.7084105908870697)","('slope_dais.slr_brick', 0.0005909477476961911)","('slope_dais.slr_brick', 0.0007066003454383463)","('gamma_dais.slr_brick', 1.3268617391586304)",,,,
419,"('S.temperature', 3.2564836740493774)","('alpha_simple.slr_brick', 0.00020718870655400679)","('a_anto.slr_brick', 0.5430685579776764)","('rho.slr_gsic_obs', 0.9838435649871826)","('Gs0_gsic.slr_brick', 0.0038501418894156814)","('a_tee.slr_brick', 0.10243653878569603)","('b_anto.slr_brick', 0.022344487719237804)","('b_simple.slr_brick', 7.825120449066162)",,,,,
420,"('b_simple.slr_brick', 7.575006723403931)","('a_anto.slr_brick', 0.6080041825771332)","('P0_dais.slr_brick', 0.69023397564888)","('alpha.temperature', 0.9907348453998566)","('beta0_gsic.slr_brick', 0.000784817966632545)","('b0_dais.slr_brick', 746.4998168945312)","('gamma_dais.slr_brick', 2.11687695980072)","('b_simple.slr_brick', 8.130047798156738)","('Gs0_gsic.slr_brick', 0.0034845273476094007)","('V0_gsic.slr_brick', 0.35288698971271515)",,,
421,"('beta0_gsic.slr_brick', 0.0008542010036762804)","('S.temperature', 3.2931363582611084)","('a_simple.slr_brick', -1.3254738450050354)","('a_tee.slr_brick', 0.13703006505966187)",,,,,,,,,
422,"('beta0_gsic.slr_brick', 0.000879696337506175)","('b_simple.slr_brick', 7.575625419616699)","('S.temperature', 2.518195867538452)","('alpha_simple.slr_brick', 0.00028372256201691926)","('S.temperature', 4.158619403839111)","('a_simple.slr_brick', -2.018461227416992)","('slope_dais.slr_brick', 0.0005999681015964597)","('alpha.temperature', 1.1785527467727661)",,,,,
423,"('b_simple.slr_brick', 7.574761390686035)","('a_tee.slr_brick', 0.09514275938272476)","('beta0_gsic.slr_brick', 0.0008245402132160962)","('a_simple.slr_brick', -2.0718140602111816)","('Gs0_gsic.slr_brick', -0.003604765282943845)","('sigma.slr_gis_obs', 0.00019745997269637883)","('offset.Tgav_obs', -0.015160907059907913)",,,,,,
424,"('a_tee.slr_brick', 0.0892534852027893)","('a_anto.slr_brick', 0.48447586596012115)","('alpha.temperature', 0.9604038894176483)",,,,,,,,,,
425,"('S.temperature', 2.7306361198425293)","('slope_dais.slr_brick', 0.0005628459039144218)","('b_simple.slr_brick', 7.571164846420288)","('a_tee.slr_brick', 0.10060599446296692)","('a_simple.slr_brick', -3.5143595933914185)","('alpha.temperature', 1.1983071565628052)","('mu_dais.slr_brick', 11.955678462982178)",,,,,,
426,"('b_anto.slr_brick', 1.964692771434784)","('a_anto.slr_brick', 0.2171754464507103)","('a_tee.slr_brick', 0.09364142641425133)","('slope_dais.slr_brick', 0.0006723521510139108)","('S.temperature', 3.3673335313796997)","('Gs0_gsic.slr_brick', -0.0030989194056019187)","('kappa_dais.slr_brick', 0.040136707946658134)","('rho.slr_gsic_obs', 0.9430992901325226)","('V0_simple.slr_brick', 7.259238958358765)","('f0_dais.slr_brick', 1.5597752332687378)",,,
427,"('S.temperature', 2.8646751642227173)","('S.temperature', 3.721920609474182)","('slope_dais.slr_brick', 0.000567974493606016)","('rho.Tgav_obs', 0.539542943239212)","('rho.slr_gis_obs', 0.8945674002170563)","('a_tee.slr_brick', 0.10086321085691452)","('sigma.slr_gsic_obs', 0.00020502611732808873)",,,,,,
428,"('S.temperature', 3.201324224472046)","('a_tee.slr_brick', 0.10933366417884827)","('alpha_dais.slr_brick', 0.03849143534898758)","('a_anto.slr_brick', 0.5050833523273468)","('S.temperature', 3.779963493347168)",,,,,,,,
429,"('a_simple.slr_brick', -0.9901038110256195)","('beta0_gsic.slr_brick', 0.0008083114807959646)","('a_anto.slr_brick', 0.23030045628547668)","('b_simple.slr_brick', 7.618042945861816)","('a_tee.slr_brick', 0.09838652983307838)","('Gs0_gsic.slr_brick', 0.00386060425080359)","('S.temperature', 2.862030506134033)","('a_tee.slr_brick', 0.13105998933315277)","('lambda_dais.slr_brick', 0.00683931540697813)","('f0_dais.slr_brick', 1.7059453129768372)",,,
430,"('nu_dais.slr_brick', 0.011411254294216633)","('alpha_dais.slr_brick', 0.08200477808713913)","('offset.Tgav_obs', -0.003993637626990676)","('h0_dais.slr_brick', 1459.0679321289062)","('a_tee.slr_brick', 0.10383593663573265)","('diff.temperature', 1.5307817459106445)","('gamma_dais.slr_brick', 3.6231253147125244)",,,,,,
431,"('S.temperature', 2.825775980949402)","('alpha.temperature', 1.159896969795227)","('a_tee.slr_brick', 0.13064545392990112)","('beta0_gsic.slr_brick', 0.0009638844931032509)","('a_tee.slr_brick', 0.09561271965503693)","('rho.slr_gsic_obs', 0.9072358906269073)","('S.temperature', 3.6483975648880005)","('gamma_dais.slr_brick', 0.783351331949234)","('beta0_gsic.slr_brick', 0.0007876542222220451)","('a_simple.slr_brick', -1.185005009174347)","('kappa_dais.slr_brick', 0.043079208582639694)","('alpha_simple.slr_brick', 0.00039495498640462756)","('b0_dais.slr_brick', 782.9837341308594)"
432,"('b_anto.slr_brick', 1.9650533199310303)","('a_tee.slr_brick', 0.08443929255008698)","('slope_dais.slr_brick', 0.000562472763704136)","('S.temperature', 3.6483465433120728)","('a_tee.slr_brick', 0.13026629388332367)","('a_simple.slr_brick', -3.6319175958633423)","('alpha_simple.slr_brick', 0.0003697987413033843)","('P0_dais.slr_brick', 0.3641040474176407)",,,,,
433,"('beta0_gsic.slr_brick', 0.0009174099250230938)","('a_tee.slr_brick', 0.07968492433428764)","('diff.temperature', 1.6552004218101501)","('rho.slr_gis_obs', 0.9650067985057831)","('S.temperature', 2.729220151901245)","('rho.slr_gis_obs', 0.8958486318588257)","('n_gsic.slr_brick', 0.5743055045604706)","('Gs0_gsic.slr_brick', 0.003239996382035315)","('gamma_dais.slr_brick', 1.27656090259552)","('a_anto.slr_brick', 0.721728503704071)","('slope_dais.slr_brick', 0.0005646097997669131)","('sigma.slr_gis_obs', 0.00020972795027773827)",
434,"('a_anto.slr_brick', 0.24367327988147736)","('kappa_dais.slr_brick', 0.06704892218112946)","('rho.slr_gsic_obs', 0.7626060843467712)","('S.temperature', 3.575252652168274)","('rho.slr_gsic_obs', 0.8159027397632599)","('a_simple.slr_brick', -0.878427654504776)","('beta0_gsic.slr_brick', 0.0005446377617772669)","('S.temperature', 3.6363896131515503)","('a_tee.slr_brick', 0.0844399519264698)",,,,
435,"('S.temperature', 2.8646751642227173)","('alpha_simple.slr_brick', 0.00014323718642117456)","('a_simple.slr_brick', -2.3834153413772583)","('diff.temperature', 3.7699313163757324)","('a_anto.slr_brick', 0.6673110723495483)","('a_tee.slr_brick', 0.13505925238132477)","('b_simple.slr_brick', 7.764359712600708)","('diff.temperature', 3.602900743484497)","('beta0_gsic.slr_brick', 0.0009055242117028683)","('S.temperature', 4.155541896820068)","('alpha_simple.slr_brick', 0.0001668829208938405)","('Gs0_gsic.slr_brick', 0.00018873617227654904)","('h0_dais.slr_brick', 1385.4979248046875)"
436,"('alpha.temperature', 0.9409208297729492)","('b0_dais.slr_brick', 787.7576599121094)","('rho.slr_gsic_obs', 0.9840470850467682)","('slope_dais.slr_brick', 0.000641253573121503)","('a_anto.slr_brick', 0.4393829107284546)","('b_simple.slr_brick', 7.456081867218018)","('diff.temperature', 2.208623170852661)","('a_tee.slr_brick', 0.103418979793787)","('a_tee.slr_brick', 0.15020281821489334)",,,,
437,"('alpha.temperature', 0.8855858445167542)","('a_tee.slr_brick', 0.10230302438139915)","('diff.temperature', 1.7720941305160522)","('a_tee.slr_brick', 0.13510116934776306)","('S.temperature', 3.24701988697052)","('b_simple.slr_brick', 8.308409214019775)","('sigma.slr_gsic_obs', 5.175602564122528e-05)","('h0_dais.slr_brick', 1420.49853515625)","('alpha_dais.slr_brick', 0.6969635188579559)","('c_dais.slr_brick', 61.82269287109375)","('Tcrit_dais.slr_brick', -15.564621448516846)","('sigma.slr_gsic_obs', 0.00011617244308581576)",
438,"('a_tee.slr_brick', 0.09914029389619827)","('alpha.temperature', 0.9844066500663757)","('slope_dais.slr_brick', 0.0005692444974556565)","('lambda_dais.slr_brick', 0.016255741007626057)","('b_simple.slr_brick', 7.570983171463013)","('slope_dais.slr_brick', 0.0005706308293156326)","('b_anto.slr_brick', 0.059391485527157784)","('Gs0_gsic.slr_brick', -0.0031919858884066343)","('lambda_dais.slr_brick', 0.005756677128374577)",,,,
439,"('a_simple.slr_brick', -1.1017004251480103)","('S.temperature', 2.8854458332061768)","('alpha_simple.slr_brick', 0.0008390709990635514)","('nu_dais.slr_brick', 0.0037111943820491433)","('b_simple.slr_brick', 7.70747447013855)","('a_tee.slr_brick', 0.1077582985162735)","('rho.slr_gis_obs', 0.8792073130607605)","('slope_dais.slr_brick', 0.0006203310622368008)",,,,,
440,"('beta0_gsic.slr_brick', 0.0009050250519067049)","('rho.slr_gsic_obs', 0.516634613275528)","('n_gsic.slr_brick', 0.735865980386734)","('alpha.temperature', 0.9133866429328918)","('a_tee.slr_brick', 0.08874435350298882)","('beta0_gsic.slr_brick', 0.0008743177750147879)","('a_simple.slr_brick', -1.3624996542930603)",,,,,,
441,"('a_simple.slr_brick', -0.8023487329483032)","('P0_dais.slr_brick', 0.3044236898422241)","('a_tee.slr_brick', 0.09519615396857262)","('sigma.Tgav_obs', 0.09180520474910736)","('beta_simple.slr_brick', 0.00021618010941892862)","('diff.temperature', 1.4993558526039124)",,,,,,,
442,"('alpha.temperature', 0.9100750386714935)","('S.temperature', 4.04407262802124)","('a_simple.slr_brick', -0.9554527699947357)","('a_tee.slr_brick', 0.14056386798620224)",,,,,,,,,
443,"('gamma_dais.slr_brick', 4.090749025344849)","('alpha.temperature', 0.9702275395393372)","('b_simple.slr_brick', 7.567720890045166)","('a_tee.slr_brick', 0.13688047230243683)","('alpha.temperature', 0.7288589775562286)","('alpha_dais.slr_brick', 0.04311410337686539)","('S.temperature', 2.697237968444824)",,,,,,
