Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
313,"('P0_dais.slr_brick', 0.304047167301178)","('kappa_dais.slr_brick', 0.079155333340168)","('rho.slr_gsic_obs', 0.96452996134758)","('alpha_simple.slr_brick', 0.00019325304310768843)","('gamma_dais.slr_brick', 3.1943254470825195)",,,,,,,,
314,"('beta0_gsic.slr_brick', 0.0009310742025263608)","('rho.slr_gis_obs', 0.9266567230224609)","('a_simple.slr_brick', -1.3695675134658813)","('a_anto.slr_brick', 0.2689739465713501)","('b0_dais.slr_brick', 753.9012756347656)","('alpha.temperature', 0.819853276014328)","('offset.Tgav_obs', -0.04773635044693947)","('slope_dais.slr_brick', 0.0006442717858590186)",,,,,
315,"('a_tee.slr_brick', 0.08324756100773811)","('S.temperature', 3.203706741333008)","('P0_dais.slr_brick', 0.2905046343803406)","('alpha.temperature', 0.9788711369037628)","('slope_dais.slr_brick', 0.0006259135552681983)","('beta0_gsic.slr_brick', 0.0010929363197647035)","('a_simple.slr_brick', -1.6168568134307861)","('S.temperature', 4.80512547492981)",,,,,
316,"('beta0_gsic.slr_brick', 0.0008888276352081448)","('a_tee.slr_brick', 0.08321670815348625)","('S.temperature', 3.3097736835479736)","('a_tee.slr_brick', 0.1156921312212944)","('b_simple.slr_brick', 7.777694225311279)","('rho.slr_gsic_obs', 0.9172466397285461)","('slope_dais.slr_brick', 0.0005679622991010547)","('rho.slr_gsic_obs', 0.9146579802036285)","('V0_gsic.slr_brick', 0.35973088443279266)","('P0_dais.slr_brick', 0.4671917259693146)","('a_tee.slr_brick', 0.10913465917110443)","('kappa_dais.slr_brick', 0.0488604512065649)",
317,"('diff.temperature', 1.3315193057060242)","('alpha_simple.slr_brick', 0.0009376166563015431)","('S.temperature', 3.2478634119033813)","('alpha.temperature', 1.14180988073349)","('a_tee.slr_brick', 0.1037655808031559)","('sigma.slr_gis_obs', 0.00020509377645794302)",,,,,,,
318,"('rho.slr_gsic_obs', 0.9562452435493469)","('alpha.temperature', 0.8947517573833466)","('sigma.slr_gis_obs', 0.0002543708251323551)","('beta0_gsic.slr_brick', 0.0010753212263807654)","('sigma.Tgav_obs', 0.08781059086322784)","('diff.temperature', 3.9061959981918335)","('sigma.slr_gis_obs', 0.00020177171245450154)","('rho.slr_gsic_obs', 0.9900071024894714)","('a_tee.slr_brick', 0.10558300465345383)",,,,
319,"('S.temperature', 2.7299656867980957)","('beta0_gsic.slr_brick', 0.0009192268189508468)","('rho.slr_gis_obs', 0.94795361161232)","('sigma.Tgav_obs', 0.09903249144554138)","('a_simple.slr_brick', -1.430942952632904)","('S.temperature', 4.193120002746582)","('alpha.temperature', 1.161595106124878)","('V0_simple.slr_brick', 7.222865343093872)","('diff.temperature', 2.264633893966675)","('alpha_simple.slr_brick', 0.0003549979883246124)",,,
320,"('beta0_gsic.slr_brick', 0.001153221819549799)","('a_anto.slr_brick', 0.4141637235879898)","('n_gsic.slr_brick', 0.7009815871715546)","('b_simple.slr_brick', 7.702312469482422)","('h0_dais.slr_brick', 1475.9296875)","('alpha.temperature', 0.8590243756771088)","('rho.Tgav_obs', 0.3644035905599594)","('n_gsic.slr_brick', 0.6854543685913086)","('V0_simple.slr_brick', 7.43120265007019)","('a_tee.slr_brick', 0.09167709946632385)","('gamma_dais.slr_brick', 3.0004498958587646)",,
321,"('diff.temperature', 1.6296014785766602)","('b_simple.slr_brick', 7.550065994262695)","('beta0_gsic.slr_brick', 0.0008627698407508433)","('alpha_dais.slr_brick', 0.06258928962051868)","('slope_dais.slr_brick', 0.0006151309644337744)","('h0_dais.slr_brick', 1157.7399291992188)",,,,,,,
322,"('S.temperature', 3.257229447364807)","('S.temperature', 4.228157997131348)","('b_simple.slr_brick', 7.649296045303345)","('P0_dais.slr_brick', 0.6538809537887573)",,,,,,,,,
323,"('b_simple.slr_brick', 7.575006723403931)","('kappa_dais.slr_brick', 0.08472452685236931)","('S.temperature', 2.9712014198303223)","('sigma.Tgav_obs', 0.07513616606593132)","('beta0_gsic.slr_brick', 0.0009207861439790577)","('alpha.temperature', 1.2223562598228455)","('diff.temperature', 1.821012020111084)","('a_anto.slr_brick', 0.024777844548225403)","('diff.temperature', 3.679917335510254)","('rho.Tgav_obs', 0.42711159586906433)",,,
324,"('diff.temperature', 1.8517318964004517)","('S.temperature', 3.2021313905715942)","('alpha.temperature', 1.1800219416618347)","('slope_dais.slr_brick', 0.000573917553992942)",,,,,,,,,
