0,1,2,3,4
3.4285231828689575,2.99847674369812,,,
3.4285231828689575,5.2073915004730225,,,
3.273840308189392,2.131255269050598,5.762119293212891,,
2.9973303079605103,2.2693742513656616,5.910225868225098,,
2.9910550117492676,2.1957848072052,,,
2.9904086589813232,4.169323921203613,,,
3.061237335205078,5.483794212341309,4.727601528167725,,
2.99664306640625,6.103964805603027,7.9016406536102295,5.3647966384887695,
3.0878031253814697,2.804297924041748,,,
3.0708975791931152,3.7003493309020996,,,
2.9888455867767334,6.107748985290527,4.168631315231323,,
6.107748985290527,3.0564016103744507,,,
3.7481794357299805,,,,
3.004246950149536,4.142157316207886,3.7825483083724976,,
3.3130524158477783,2.6943161487579346,4.035197019577026,,
3.0504177808761597,9.255070209503174,,,
3.4508687257766724,2.694823384284973,5.916908502578735,,
3.321710705757141,2.775426745414734,5.533576011657715,,
5.1377458572387695,,,,
3.547542929649353,2.775566339492798,3.2752225399017334,5.796594858169556,5.949225187301636
6.9786317348480225,3.196563482284546,3.061237335205078,2.130009651184082,
2.9910640716552734,3.957449197769165,,,
3.73364794254303,3.1437933444976807,2.695670485496521,5.943458080291748,
5.009213924407959,5.944673538208008,2.990782380104065,,
3.321828842163086,5.533576011657715,5.201486349105835,,
2.9973303079605103,4.3029749393463135,5.575802803039551,,
3.52114474773407,5.568448543548584,5.458599805831909,,
2.9984683990478516,5.524378538131714,,,
3.321828842163086,3.0258936882019043,5.5466320514678955,7.92673134803772,
3.0565247535705566,4.397669076919556,,,
3.0880486965179443,,,,
2.8607842922210693,2.3865346908569336,3.7401031255722046,,
3.847626566886902,,,,
3.1432379484176636,4.779615879058838,,,
3.321828842163086,4.696343660354614,,,
3.008062958717346,2.130557656288147,3.531988263130188,,
3.410611629486084,2.871717929840088,,,
3.0565247535705566,3.0258936882019043,2.130557656288147,3.7573258876800537,4.7236855030059814
3.7645548582077026,2.694823384284973,,,
3.0582536458969116,5.694610118865967,5.408574104309082,5.998746871948242,
