0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3.7604382038116455,2.131992220878601,3.1665390729904175,3.159695863723755,2.667867064476013,2.958211898803711,4.760623216629028,5.230663299560547,5.101983070373535,4.14055609703064,5.940008878707886,,,,,,,,,
2.696181535720825,3.517643928527832,2.119311571121216,2.924783229827881,2.7701672315597534,3.05987811088562,3.0473731756210327,4.365047216415405,3.9277865886688232,6.133209466934204,4.192007780075073,5.00651216506958,6.681244611740112,4.13302206993103,2.9672467708587646,4.490087509155273,4.948056697845459,,,
3.0946292877197266,2.3813796043395996,6.6276326179504395,6.412855863571167,4.12976598739624,3.25200617313385,4.052296996116638,5.061771392822266,3.7770004272460938,,,,,,,,,,,
3.8147588968276978,2.6868635416030884,2.9179831743240356,3.64187228679657,3.4266908168792725,,,,,,,,,,,,,,,
3.7872931957244873,3.0526829957962036,6.695231676101685,4.978113412857056,6.579850435256958,3.7530025243759155,2.430730938911438,5.220264911651611,3.7212483882904053,,,,,,,,,,,
2.6960779428482056,2.6192597150802612,7.553928375244141,5.12818169593811,3.8191715478897095,4.774978160858154,3.1312886476516724,4.313608884811401,,,,,,,,,,,,
2.8671700954437256,2.716458320617676,2.191367268562317,5.817310094833374,5.027117967605591,4.752423286437988,3.7228827476501465,5.86906099319458,4.196457147598267,,,,,,,,,,,
2.9461073875427246,2.501921772956848,2.7927876710891724,3.737041711807251,4.1985390186309814,4.872693777084351,3.8477507829666138,4.414541006088257,5.528308868408203,5.433903217315674,2.34906804561615,2.851217746734619,,,,,,,,
2.76336407661438,3.083290934562683,2.800668239593506,2.738179087638855,2.531957507133484,3.0837810039520264,3.582693934440613,4.828778028488159,4.241568088531494,4.702194452285767,,,,,,,,,,
3.6409915685653687,4.029972791671753,5.156310319900513,4.990338087081909,2.376009941101074,,,,,,,,,,,,,,,
3.7224420309066772,2.7501778602600098,2.0674721002578735,3.42175030708313,3.0634570121765137,3.1751514673233032,5.833197355270386,5.27216100692749,,,,,,,,,,,,
