,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
rrlll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rrllr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rrlr,0.08380520951302378,0.013590033975084938,0.04190260475651189,0.009060022650056626,0.011325028312570781,0.010192525481313703,0.013590033975084938,0.021517553793884484,0.057757644394110984,0.06455266138165346,0.05436013590033975,0.03737259343148358,0.006795016987542469,0.021517553793884484,0.009060022650056626,0.007927519818799546,0.011325028312570781,0.01925254813137033,0.009060022650056626,0.01925254813137033,0.014722536806342015,0.011325028312570781,0.015855039637599093,0.014722536806342015,0.013590033975084938,0.009060022650056626,0.015855039637599093,0.007927519818799546,0.006795016987542469,0.007927519818799546,0.01245753114382786,0.013590033975084938,0.021517553793884484,0.015855039637599093,0.0928652321630804,0.0,0.0,0.0,0.20271800679501698
rrlrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rrlrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rrr,0.2260343087790111,0.016145307769929364,0.06659939455095863,0.007063572149344097,0.0030272452068617556,0.008072653884964682,0.007063572149344097,0.015136226034308779,0.026236125126135216,0.09081735620585267,0.02320887991927346,0.04137235116044399,0.008072653884964682,0.030272452068617558,0.006054490413723511,0.007063572149344097,0.014127144298688193,0.006054490413723511,0.0030272452068617556,0.009081735620585268,0.014127144298688193,0.007063572149344097,0.014127144298688193,0.012108980827447022,0.007063572149344097,0.0020181634712411706,0.02119071644803229,0.008072653884964682,0.011099899091826439,0.0030272452068617556,0.006054490413723511,0.005045408678102927,0.01917255297679112,0.034308779011099896,0.1917255297679112,0.0,0.0,0.0,0.029263370332996974
rrrl,0.09355509355509356,0.016632016632016633,0.035343035343035345,0.014553014553014554,0.009355509355509356,0.013513513513513514,0.010395010395010396,0.02182952182952183,0.02286902286902287,0.06444906444906445,0.060291060291060294,0.030145530145530147,0.007276507276507277,0.02494802494802495,0.009355509355509356,0.007276507276507277,0.012474012474012475,0.012474012474012475,0.010395010395010396,0.013513513513513514,0.014553014553014554,0.010395010395010396,0.007276507276507277,0.007276507276507277,0.017671517671517672,0.015592515592515593,0.015592515592515593,0.008316008316008316,0.007276507276507277,0.005197505197505198,0.011434511434511435,0.007276507276507277,0.02286902286902287,0.02286902286902287,0.09563409563409564,0.0,0.0,0.0,0.24012474012474014
rrrll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rrrlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rrrr,0.11746361746361747,0.018711018711018712,0.02390852390852391,0.007276507276507277,0.016632016632016633,0.007276507276507277,0.014553014553014554,0.016632016632016633,0.035343035343035345,0.07068607068607069,0.038461538461538464,0.02598752598752599,0.011434511434511435,0.02079002079002079,0.011434511434511435,0.012474012474012475,0.014553014553014554,0.011434511434511435,0.011434511434511435,0.015592515592515593,0.014553014553014554,0.007276507276507277,0.011434511434511435,0.016632016632016633,0.013513513513513514,0.012474012474012475,0.02286902286902287,0.017671517671517672,0.02079002079002079,0.014553014553014554,0.013513513513513514,0.02182952182952183,0.02182952182952183,0.02286902286902287,0.11850311850311851,0.0,0.0,0.0,0.14760914760914762
rrrrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rrrrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
