0,1,2,3,4,5
2.8627690076828003,2.3026353120803833,6.947972059249878,,,
3.363426923751831,5.521132230758667,,,,
3.068656325340271,2.248002767562866,,,,
2.9695407152175903,2.8255597352981567,6.464571714401245,,,
3.1430304050445557,2.342965245246887,,,,
2.751071333885193,3.8725475072860718,4.284485340118408,,,
3.2482845783233643,2.456231117248535,7.400928974151611,5.166843891143799,,
2.81609845161438,6.504373550415039,3.2482845783233643,,,
3.197240114212036,2.4734811782836914,5.788693428039551,,,
3.068382501602173,3.2033454179763794,2.497940182685852,5.569091081619263,,
3.004003405570984,5.486738920211792,,,,
3.1433111429214478,2.342931866645813,7.510089874267578,7.718132972717285,5.192043304443359,4.999986171722412
2.8255597352981567,5.572727680206299,,,,
2.4693888425827026,2.246617555618286,6.419544696807861,3.0121512413024902,,
3.2006126642227173,,,,,
3.00271213054657,7.400928974151611,6.412684917449951,,,
2.72466504573822,2.7310893535614014,5.831405401229858,,,
3.087988495826721,,,,,
3.193778157234192,2.3520357608795166,5.19278359413147,,,
2.8294622898101807,4.759239673614502,,,,
3.087988495826721,2.887331962585449,3.8237204551696777,5.821251392364502,,
3.136590361595154,,,,,
3.068656325340271,2.09533429145813,7.570375442504883,5.485605478286743,,
3.012518882751465,,,,,
2.9695407152175903,2.396899938583374,6.452214241027832,,,
3.8725475072860718,3.196953296661377,2.7311352491378784,2.1213513612747192,5.265682220458984,
2.3865370750427246,6.786243677139282,3.6721854209899902,3.221546769142151,,
3.2425355911254883,2.247653603553772,6.1764233112335205,,,
3.192188024520874,2.518195867538452,5.076303482055664,2.2030445337295532,,
3.6585434675216675,2.395998001098633,5.076303482055664,,,
3.1940494775772095,2.300224542617798,,,,
,,,,,
3.197240114212036,4.9693520069122314,,,,
2.7231321334838867,6.817277431488037,,,,
3.0524779558181763,3.825910210609436,4.759239673614502,,,
3.421765923500061,2.9319881200790405,2.300224542617798,6.407111167907715,,
2.690994143486023,,,,,
3.2048367261886597,5.61751389503479,,,,
3.2223020792007446,6.817277431488037,5.482377529144287,,,
3.024349331855774,2.300224542617798,,,,
3.1938334703445435,2.396112561225891,5.164232492446899,,,
3.1433111429214478,2.342931866645813,6.411313772201538,,,
3.2236862182617188,2.4654433727264404,3.8967506885528564,,,
3.0115771293640137,2.2001901865005493,3.8868448734283447,5.41974401473999,,
3.0517466068267822,2.1744120121002197,2.301633358001709,,,
2.395998001098633,3.2048144340515137,,,,
3.0913068056106567,2.497686982154846,,,,
3.0115771293640137,2.2823002338409424,7.508095741271973,5.076303482055664,,
2.3538256883621216,,,,,
2.9695407152175903,2.1650900840759277,3.6429121494293213,,,
2.9691797494888306,,,,,
3.0877429246902466,2.2820576429367065,,,,
3.2048367261886597,2.4809316396713257,,,,
3.7415127754211426,,,,,
3.067923069000244,6.5075743198394775,,,,
2.840584635734558,2.439501166343689,,,,
5.076303482055664,,,,,
2.9314290285110474,,,,,
3.1940494775772095,2.2000319957733154,6.635791301727295,,,
3.254706621170044,2.48169481754303,,,,
2.9393160343170166,6.425118446350098,3.671346664428711,4.986707448959351,,
2.8846436738967896,3.852731466293335,7.504144191741943,,,
3.2048367261886597,2.4692094326019287,3.7545493841171265,6.110057830810547,,
3.2019145488739014,2.3512372970581055,2.1213513612747192,5.018666982650757,,
3.0051859617233276,3.754746437072754,5.4150965213775635,,,
3.2048367261886597,2.395901918411255,,,,
3.041090965270996,2.825664520263672,2.4977492094039917,2.301633358001709,4.6294872760772705,
3.0113972425460815,,,,,
2.8623584508895874,5.07330846786499,2.969175338745117,,,
2.353546619415283,3.6429121494293213,,,,
3.068382501602173,2.456231117248535,3.8625905513763428,,,
3.197240114212036,2.3520305156707764,,,,
3.6344521045684814,3.446743965148926,2.710744261741638,,,
3.068656325340271,2.300224542617798,3.856372117996216,,,
3.2021313905715942,4.165675640106201,,,,
3.4928616285324097,5.487646818161011,,,,
3.8478493690490723,3.6581883430480957,2.342931866645813,9.748269081115723,6.431278944015503,
3.204766869544983,2.456231117248535,5.171375513076782,,,
2.690994143486023,,,,,
2.356664299964905,3.1963874101638794,3.3628902435302734,5.41974401473999,,
2.369919776916504,3.6528937816619873,,,,
9.724386215209961,3.2223020792007446,2.300224542617798,5.566590785980225,3.9538358449935913,
2.8726295232772827,2.342931866645813,5.486937999725342,4.1475019454956055,,
2.3538256883621216,3.6315531730651855,5.8300535678863525,,,
,,,,,
9.756034851074219,3.2133814096450806,2.3026353120803833,5.561430931091309,,
3.068382501602173,5.453871250152588,,,,
3.197240114212036,,,,,
2.7511649131774902,2.2612252235412598,6.566504001617432,,,
3.024336099624634,2.3017585277557373,4.334611892700195,,,
3.024349331855774,5.275178670883179,,,,
2.356664299964905,3.239493489265442,,,,
3.068656325340271,2.398864507675171,5.28685450553894,,,
3.068656325340271,2.3520357608795166,,,,
2.356664299964905,6.419544696807861,3.039489984512329,,,
3.1940494775772095,2.300224542617798,5.796621322631836,5.821251392364502,,
3.041090965270996,6.416887521743774,,,,
3.196953296661377,,,,,
2.8627690076828003,6.817277431488037,,,,
3.2482845783233643,2.242303252220154,3.8869024515151978,4.286648750305176,,
3.274355173110962,9.756034851074219,5.816170930862427,,,
3.1940494775772095,2.395901918411255,,,,
3.135042905807495,2.497940182685852,6.464571714401245,,,
3.0524779558181763,,,,,
3.0543155670166016,2.396112561225891,9.756034851074219,,,
3.1938334703445435,,,,,
2.8726764917373657,2.49800968170166,6.431278944015503,5.944673538208008,3.197529673576355,
3.4014577865600586,2.396112561225891,,,,
3.135933518409729,6.786243677139282,5.486937999725342,,,
6.419544696807861,3.1364481449127197,,,,
3.197240114212036,5.4262120723724365,,,,
2.6745434999465942,3.156158208847046,,,,
