0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
3.222968339920044,2.8453664779663086,2.2077839374542236,3.5568814277648926,3.609274387359619,5.5249714851379395,4.737468957901001,4.721784591674805,3.5970860719680786,3.206579804420471,3.4070260524749756,4.432288646697998,,,,,,,,,,,
4.174229860305786,5.481510877609253,3.118045687675476,2.192452907562256,3.4772106409072876,2.8507128953933716,3.6396297216415405,2.838738441467285,3.706630825996399,4.924766302108765,,,,,,,,,,,,,
2.782117009162903,3.2706267833709717,3.8002469539642334,3.194049119949341,4.131696939468384,5.009228229522705,7.320425748825073,5.563871145248413,4.197471380233765,3.8915703296661377,4.885773658752441,4.746170997619629,5.371551036834717,,,,,,,,,,
3.094485282897949,2.1954433917999268,2.508569121360779,3.847424030303955,5.127517461776733,,,,,,,,,,,,,,,,,,
3.03512704372406,3.2902700901031494,4.1678807735443115,4.874784708023071,4.719641923904419,4.439769983291626,3.354137420654297,5.289340496063232,6.932760238647461,,,,,,,,,,,,,,
2.7888543605804443,2.8117202520370483,3.047694683074951,2.2745004892349243,2.1985702514648438,3.6054744720458984,3.222538709640503,2.9405006170272827,2.670293092727661,5.177627325057983,4.562173128128052,5.327632427215576,3.5740597248077393,3.627436876296997,3.714797854423523,,,,,,,,
2.7777687311172485,3.561562657356262,4.248359203338623,4.86096978187561,4.753186941146851,3.1677452325820923,5.153780221939087,4.503814697265625,,,,,,,,,,,,,,,
3.5740597248077393,3.177348256111145,5.15327787399292,3.622265577316284,5.664335012435913,3.050112247467041,2.2188973426818848,2.641088366508484,3.333185315132141,6.9859349727630615,6.169693470001221,3.758002281188965,7.856868743896484,4.721784591674805,4.195595026016235,5.617645025253296,3.8443992137908936,,,,,,
3.2550463676452637,2.782117009162903,2.6194759607315063,5.016448736190796,5.069011211395264,4.9704320430755615,5.046849012374878,5.058143854141235,7.147130966186523,4.904326677322388,5.412511587142944,5.211418390274048,7.377233982086182,,,,,,,,,,
3.043456792831421,3.251234292984009,2.6447607278823853,5.821701765060425,3.6284899711608887,3.3652812242507935,2.690811514854431,4.171685338020325,4.537882089614868,3.3013792037963867,4.1972692012786865,4.286921977996826,5.375065803527832,6.29679536819458,,,,,,,,,
