0,1,2,3,4,5,6
2.7997714281082153,2.2459182739257812,4.299445629119873,3.585394501686096,,,
3.0682355165481567,2.248002767562866,,,,,
2.9025295972824097,2.1790679693222046,2.0861464738845825,4.8848676681518555,5.693161964416504,4.026395797729492,
2.799898624420166,2.234236240386963,4.943263530731201,3.584913492202759,,,
2.9435495138168335,2.1179133653640747,2.0816112756729126,4.873810052871704,3.9204968214035034,,
2.9438700675964355,2.0613430738449097,2.159661293029785,4.162120819091797,3.815679907798767,,
2.839945077896118,2.0999221801757812,2.177667737007141,3.826216697692871,3.777042865753174,,
2.966896176338196,2.1790679693222046,6.985404968261719,3.748294472694397,,,
2.9111744165420532,2.1179133653640747,2.096261501312256,3.6169368028640747,4.146478652954102,,
2.950467348098755,2.2002882957458496,2.047117829322815,4.031262397766113,3.2732733488082886,,
2.843281865119934,1.9118193984031677,2.159460663795471,4.343712091445923,4.03421950340271,,
2.838141918182373,2.159460663795471,6.426248788833618,3.8151135444641113,,,
3.1918089389801025,2.177667737007141,7.271635293960571,7.027385711669922,,,
2.8401999473571777,2.183867573738098,4.937119483947754,7.027385711669922,3.599580407142639,,
2.873308300971985,2.1790679693222046,2.0412176847457886,4.40440559387207,3.585394501686096,,
2.913148283958435,2.899275064468384,2.058844804763794,4.343767404556274,4.169323921203613,,
2.8401999473571777,2.102020740509033,4.892834424972534,4.026354551315308,,,
2.789953112602234,2.2421258687973022,4.335308074951172,3.920327067375183,,,
2.8654518127441406,2.0999221801757812,2.171105980873108,4.340394496917725,,,
2.843281865119934,2.248002767562866,5.1015167236328125,4.006890296936035,,,
2.914396286010742,2.1155556440353394,2.159460663795471,4.330795049667358,5.635195732116699,3.775596261024475,
2.9027211666107178,2.135772705078125,2.11262583732605,3.7992204427719116,3.585394501686096,,
2.83607816696167,2.1155556440353394,2.1988580226898193,3.650210976600647,4.193119525909424,,
2.9438700675964355,2.135772705078125,2.16134774684906,4.320770502090454,5.800410509109497,4.01975679397583,
2.8713637590408325,2.159661293029785,5.923828840255737,,,,
3.2019717693328857,2.28400981426239,2.102020740509033,4.774683475494385,4.102064847946167,,
2.9435495138168335,2.044118642807007,2.215888738632202,5.1015167236328125,6.817277431488037,4.138897657394409,
3.1572155952453613,2.1426795721054077,2.248002767562866,5.321919202804565,,,
3.1509982347488403,2.337762951850891,7.0795605182647705,5.88816499710083,,,
2.9559186697006226,2.1600050926208496,3.7578916549682617,,,,
2.9495431184768677,2.09533429145813,5.321919202804565,3.6736594438552856,,,
3.19640851020813,2.1149485111236572,2.159460663795471,6.226653814315796,,,
2.8713637590408325,2.170361876487732,4.959174156188965,3.6719415187835693,,,
2.838356614112854,2.1155556440353394,2.0289523601531982,4.187812805175781,3.7011111974716187,,
2.899022102355957,2.1155556440353394,2.2276800870895386,5.693161964416504,4.031731605529785,,
2.9675265550613403,2.1593003273010254,4.335308074951172,3.629332661628723,,,
2.9107871055603027,2.065443277359009,2.0816112756729126,4.343767404556274,4.124501943588257,,
3.1935731172561646,2.1603065729141235,4.363441705703735,3.7011111974716187,,,
2.868623971939087,2.097617745399475,2.096261501312256,3.6163052320480347,5.927833318710327,3.748294472694397,
2.83607816696167,2.177009105682373,4.8848676681518555,4.960620164871216,3.6120500564575195,,
2.9025295972824097,2.1775697469711304,5.800410509109497,,,,
3.19565749168396,2.1179133653640747,2.047058582305908,7.335794687271118,4.750041246414185,3.7126100063323975,4.4151997566223145
2.966896176338196,2.0861464738845825,5.94086480140686,4.431674242019653,4.026237964630127,,
3.163895010948181,2.108072876930237,5.800410509109497,4.150514364242554,,,
2.839945077896118,2.1000596284866333,2.1017045974731445,5.693161964416504,4.030709266662598,,
2.913148283958435,2.0538874864578247,2.3377938270568848,4.17424750328064,3.581098437309265,,
2.913148283958435,2.300011157989502,4.287266254425049,3.9204968214035034,,,
2.7997714281082153,2.171105980873108,7.027385711669922,3.6074044704437256,,,
2.913148283958435,2.0978411436080933,2.1732304096221924,4.008600950241089,3.7015726566314697,,
2.9559186697006226,2.126212239265442,2.2421258687973022,6.1417555809021,3.6299365758895874,,
2.9435495138168335,2.0538874864578247,2.246355175971985,4.954976558685303,5.820167064666748,6.374071836471558,
2.802987575531006,2.2178012132644653,4.943263530731201,3.6719415187835693,,,
2.956092953681946,2.0286401510238647,2.1709715127944946,5.691276550292969,4.130196571350098,,
