Name,0%,25%,50%,75%,100%,Mean
SLR 2020 all splits,1.6959058046340942,2.6956541538238525,3.307310700416565,4.2093119621276855,9.292856216430664,3.5870416402399226
SLR 2025 all splits,1.9836816191673279,2.7322805523872375,3.338459610939026,4.2006776332855225,9.748269081115723,3.620453522621639
SLR 2030 all splits,1.723734438419342,2.8059651851654053,3.4059054851531982,4.284788727760315,9.147659301757812,3.6860060044245047
SLR 2035 all splits,2.0504574179649353,2.849007725715637,3.5331075191497803,4.413125514984131,9.64251184463501,3.757471122588981
SLR 2040 all splits,2.056824743747711,2.917310118675232,3.574357509613037,4.518975019454956,9.551268100738525,3.8788269871248735
SLR 2045 all splits,2.1038200855255127,2.9910084009170532,3.655580759048462,4.485430002212524,8.592992782592773,3.87479741429947
SLR 2050 all splits,1.9483144283294678,2.9977961480617523,3.6506564617156982,4.486364781856537,9.667508602142334,3.877377365037933
SLR 2055 all splits,2.057920455932617,3.0673176050186157,3.6964926719665527,4.6301679611206055,9.124675750732422,3.962274187980312
SLR 2060 all splits,1.96675705909729,3.1966397166252136,3.807265877723694,4.825234055519104,9.043915271759033,4.068025853701632
SLR 2065 all splits,2.1510682106018066,3.239809513092041,3.87122905254364,4.85742712020874,9.83808183670044,4.0873862646971535
SLR 2070 all splits,2.1622411012649536,3.27632999420166,3.959043502807617,4.825920820236206,8.269857168197632,4.131787552051171
SLR 2075 all splits,2.253666877746582,3.41893208026886,4.030102252960205,4.879505395889282,8.633447647094727,4.206039756210775
SLR 2080 all splits,2.34225594997406,3.464988350868225,4.0628955364227295,4.876236796379089,9.234721660614014,4.22048073588324
SLR 2085 all splits,2.247153878211975,3.464869737625122,4.082052946090698,4.829893231391907,8.173348426818848,4.199816700159493
SLR 2090 all splits,2.2928913831710815,3.4641844034194946,4.1086273193359375,4.917455196380615,8.790600776672363,4.2542439390290605
SLR 2095 all splits,2.192646622657776,3.464748740196228,4.090534925460815,4.907245874404907,8.227166175842285,4.239784294707317
SLR 2100 all splits,2.2607918977737427,3.464988350868225,4.111516356468201,4.8833513259887695,8.635958671569824,4.245875983244761
SLR 2105 all splits,2.6666678190231323,3.464748740196228,4.122051000595093,4.917455196380615,8.721046924591064,4.300985331203848
SLR 2110 all splits,2.357261896133423,3.4639962911605835,4.087912321090698,4.780401706695557,8.742294788360596,4.2005281097462674
SLR 2115 all splits,2.241678237915039,3.463985800743103,4.100722312927246,4.872763395309448,9.567869663238525,4.223866923775389
SLR 2120 all splits,2.3235052824020386,3.464988350868225,4.121784687042236,4.9180662631988525,9.037029266357422,4.299862509629259
SLR 2125 all splits,2.6008907556533813,3.4639962911605835,4.086691617965698,4.788255989551544,8.88180160522461,4.236636370261086
SLR 2130 all splits,2.359017491340637,3.464748740196228,4.110337972640991,4.907245874404907,8.88180160522461,4.300100179977391
SLR 2135 all splits,2.393154263496399,3.464988350868225,4.13467276096344,4.878702402114868,8.426157474517822,4.303741347936533
SLR 2140 all splits,2.678208827972412,3.4638423919677734,4.106872797012329,4.896260738372803,8.426157474517822,4.279508082147835
SLR 2145 all splits,2.2568986415863037,3.46738600730896,4.089241981506348,4.884599447250366,8.634129047393799,4.276939600843078
SLR 2150 all splits,2.3466813564300537,3.4683234691619873,4.1201251745224,4.871327877044678,8.731748580932617,4.279880328333265
