,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
p,0.65,0.085,0.224,0.022,0.0,0.0,0.0,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
l,0.332,0.013,0.047,0.155,0.0,0.0,0.0,0.386,0.004,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
ll,0.072,0.031,0.005,0.339,0.002,0.0,0.0,0.249,0.099,0.102,0.028,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.032,0.001,0.0,0.001,0.001,0.0,0.003,0.0,0.001,0.002,0.001,0.002,0.009,0.003,0.013,0.0,0.0,0.0,0.0
lll,0.058,0.084,0.017,0.163,0.004,0.003,0.007,0.199,0.075,0.078,0.02,0.011,0.004,0.011,0.002,0.003,0.005,0.018,0.009,0.016,0.054,0.008,0.002,0.004,0.006,0.001,0.026,0.008,0.001,0.036,0.024,0.002,0.018,0.008,0.014,0.0,0.0,0.0,0.001
llll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lllr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llr,0.179,0.071,0.014,0.144,0.004,0.002,0.002,0.143,0.045,0.134,0.048,0.01,0.001,0.003,0.001,0.006,0.007,0.006,0.009,0.012,0.027,0.0,0.0,0.016,0.006,0.001,0.021,0.003,0.004,0.014,0.006,0.002,0.026,0.004,0.028,0.0,0.0,0.0,0.001
llrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr,0.377,0.09,0.056,0.085,0.0,0.0,0.001,0.264,0.009,0.085,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.0,0.0,0.002,0.001,0.0,0.006,0.001,0.0,0.001,0.0,0.0,0.007,0.001,0.001,0.0,0.0,0.0,0.0
lrl,0.134,0.065,0.03,0.194,0.006,0.004,0.002,0.169,0.039,0.09,0.108,0.001,0.002,0.004,0.003,0.005,0.006,0.003,0.001,0.005,0.032,0.001,0.002,0.002,0.003,0.005,0.012,0.007,0.001,0.006,0.001,0.002,0.025,0.009,0.021,0.0,0.0,0.0,0.0
lrll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lrlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lrr,0.168,0.037,0.021,0.188,0.0,0.0,0.004,0.206,0.033,0.223,0.025,0.002,0.0,0.001,0.006,0.0,0.001,0.001,0.001,0.0,0.019,0.0,0.001,0.006,0.003,0.0,0.02,0.003,0.0,0.007,0.0,0.0,0.017,0.003,0.004,0.0,0.0,0.0,0.0
lrrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lrrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
r,0.201,0.002,0.085,0.059,0.0,0.0,0.0,0.618,0.0,0.025,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
rl,0.41,0.012,0.09,0.055,0.0,0.001,0.0,0.236,0.019,0.107,0.028,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.003,0.011,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.015,0.0,0.005,0.0,0.0,0.0,0.0
rll,0.148,0.016,0.031,0.092,0.006,0.005,0.001,0.144,0.061,0.273,0.046,0.002,0.005,0.004,0.001,0.003,0.005,0.001,0.001,0.004,0.062,0.001,0.006,0.009,0.003,0.003,0.004,0.0,0.005,0.009,0.008,0.001,0.015,0.001,0.024,0.0,0.0,0.0,0.0
rlll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
