param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
16,sqrt,4,7,500,0.9420000000000001,1
14,sqrt,4,7,750,0.94175,2
14,sqrt,4,10,500,0.941625,3
16,sqrt,4,7,750,0.9415,4
18,sqrt,4,10,750,0.9415,4
14,sqrt,4,7,1000,0.9415,4
16,sqrt,4,10,1000,0.9415,4
14,sqrt,4,16,500,0.9415,4
18,sqrt,4,10,250,0.941375,9
18,sqrt,4,7,750,0.941375,9
12,sqrt,4,7,250,0.941375,9
12,sqrt,4,7,500,0.941375,9
16,sqrt,4,7,250,0.94125,13
14,sqrt,4,10,1000,0.94125,13
16,sqrt,4,7,1000,0.94125,13
14,sqrt,4,13,750,0.94125,13
16,sqrt,4,10,250,0.941125,17
18,sqrt,4,13,750,0.941,18
14,sqrt,4,7,500,0.941,18
16,sqrt,4,10,750,0.940875,20
14,sqrt,4,10,750,0.940875,20
16,sqrt,4,13,500,0.940875,20
16,sqrt,4,16,1000,0.940875,20
18,sqrt,4,7,1000,0.940875,20
12,sqrt,4,10,500,0.940875,20
18,sqrt,4,10,1000,0.940875,20
18,sqrt,4,16,250,0.940875,20
