param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
18,15,4,7,250,0.936375,1
14,15,3,7,250,0.93625,2
16,15,2,4,250,0.93625,2
18,15,1,4,500,0.9359999999999999,4
18,15,3,7,500,0.9359999999999999,4
12,15,2,10,750,0.935875,6
14,15,3,4,250,0.93575,7
14,15,3,10,1000,0.93575,7
16,15,2,4,500,0.93575,7
18,15,3,4,500,0.93575,7
