param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
12,sqrt,4,7,1000,0.9515,1
16,sqrt,4,7,500,0.951375,2
16,sqrt,4,7,1000,0.95125,3
18,sqrt,4,13,500,0.951125,4
14,sqrt,4,10,250,0.951125,4
12,sqrt,4,7,250,0.951,6
14,sqrt,4,7,250,0.951,6
14,sqrt,4,7,750,0.950875,8
18,sqrt,4,10,500,0.950875,8
18,sqrt,4,7,750,0.95075,10
18,sqrt,4,13,1000,0.95075,10
14,sqrt,4,10,750,0.95075,10
14,sqrt,4,7,1000,0.95075,10
12,sqrt,4,7,750,0.95075,10
14,sqrt,4,7,500,0.950625,15
12,sqrt,4,13,750,0.950625,15
18,sqrt,4,7,1000,0.950625,15
14,sqrt,4,10,1000,0.950625,15
18,sqrt,4,10,1000,0.950625,15
18,sqrt,4,13,250,0.9505,20
14,sqrt,4,13,500,0.9505,20
16,sqrt,4,7,250,0.9505,20
18,sqrt,4,7,500,0.9505,20
18,sqrt,4,16,750,0.9505,20
