param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
16,15,1,4,1000,0.9315,1
14,15,1,7,500,0.930875,2
12,15,1,7,250,0.93075,3
14,15,1,4,500,0.930375,4
14,15,1,7,250,0.930375,4
16,15,1,4,500,0.930375,4
14,15,1,4,750,0.93025,7
16,15,1,4,750,0.93025,7
16,15,1,10,1000,0.93025,7
18,15,1,13,750,0.93025,7
