param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
14,sqrt,4,7,750,0.920625,1
16,sqrt,4,7,500,0.9205,2
16,sqrt,4,7,750,0.920375,3
12,sqrt,4,7,500,0.92025,4
18,sqrt,4,7,500,0.92,5
12,sqrt,4,10,750,0.919875,6
16,sqrt,4,7,1000,0.919875,6
16,sqrt,4,10,1000,0.91975,8
16,sqrt,4,13,250,0.91975,8
18,sqrt,4,13,500,0.919625,10
18,sqrt,4,10,1000,0.919625,10
18,sqrt,4,7,750,0.919625,10
12,sqrt,4,13,750,0.919625,10
14,sqrt,4,10,750,0.919625,10
14,sqrt,4,7,1000,0.919625,10
16,sqrt,4,7,250,0.9195,16
14,sqrt,4,13,250,0.9195,16
18,sqrt,4,7,1000,0.9195,16
18,sqrt,4,13,1000,0.9195,16
12,sqrt,4,7,750,0.919375,20
18,sqrt,4,10,750,0.919375,20
12,sqrt,4,10,500,0.919375,20
18,sqrt,4,16,250,0.919375,20
18,sqrt,4,16,500,0.919375,20
