param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
16,15,1,16,250,0.92925,1
18,15,2,4,750,0.92875,2
14,15,3,7,250,0.928625,3
16,15,2,7,500,0.928625,3
18,15,4,7,1000,0.928625,3
12,15,2,4,750,0.9285,6
12,15,3,4,500,0.9285,6
14,15,2,4,250,0.9285,6
16,15,2,13,1000,0.9285,6
16,15,3,4,250,0.9285,6
18,15,2,4,1000,0.9285,6
18,15,4,7,750,0.9285,6
