param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
16,sqrt,4,10,250,0.9265,1
16,sqrt,4,7,500,0.925625,2
14,sqrt,4,7,1000,0.925625,2
12,sqrt,4,7,250,0.925625,2
16,sqrt,4,13,250,0.9255,5
14,sqrt,4,7,500,0.9255,5
16,sqrt,4,16,250,0.925375,7
16,sqrt,4,7,1000,0.925375,7
18,sqrt,4,7,750,0.92525,9
14,sqrt,4,10,250,0.925125,10
18,sqrt,4,7,500,0.925125,10
18,sqrt,4,13,500,0.925,12
12,sqrt,4,13,500,0.925,12
16,sqrt,4,7,750,0.925,12
14,sqrt,4,13,750,0.924875,15
18,sqrt,4,10,250,0.924875,15
18,sqrt,4,13,1000,0.92475,17
12,sqrt,4,7,750,0.92475,17
18,sqrt,4,10,500,0.92475,17
18,sqrt,4,13,250,0.92475,17
14,sqrt,4,10,500,0.92475,17
16,sqrt,4,10,1000,0.92475,17
18,sqrt,4,16,750,0.92475,17
