param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
18,15,1,4,250,0.950375,1
14,15,1,10,250,0.950125,2
16,15,1,7,1000,0.949625,3
18,15,3,7,250,0.949625,3
16,15,1,13,500,0.9495,5
12,15,3,4,500,0.949375,6
14,15,1,7,750,0.949375,6
14,15,2,4,1000,0.949375,6
16,15,1,10,1000,0.949375,6
18,15,1,16,500,0.949375,6
