S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs
2.480120696,3.218230225,0.631563507,0.000633654,0.372864693,0.792902897,0.003641364,0.08888405,-1.133384864,7.226480844,0.00079494,2.44E-05,7.255220296,-0.042631324,0.079652679,0.46953628,0.000122157,0.860827092,0.000235594,0.990165476,0.272575945,0.671100318,3.948654652,0.169482335,11.69749832,0.012730767,0.042867351,0.031738594,1.017650485,1111.568848,97.72678375,806.3787231,0.000561642,0.006422997,-15.28384209,-13.73446938,0.514837974,0.978192864
3.11182228,2.119603906,1.087315426,0.001183301,0.313471909,0.961890243,-0.003606528,0.115286867,-3.896155844,8.330537092,0.00053156,0.000121641,7.420688357,0.038196042,0.080348477,0.517695259,0.000162975,0.874855466,0.000204688,0.935484055,0.114584625,1.408922076,2.036398888,0.005227969,12.67333794,0.013783878,0.622387052,0.0534463,1.411938548,1511.709229,68.20075989,812.4384155,0.000638969,0.013680449,-15.44403744,-13.73446938,0.514837974,0.978192864
3.209272567,3.087321235,0.848058256,0.000864982,0.30471174,0.6599138,0.000998536,0.083301129,-3.042974521,7.990575,0.000162868,0.000165142,7.225157333,-0.042631823,0.076166198,0.294311054,0.000357903,0.960302193,0.000245601,0.890466055,0.143383369,0.004211058,2.463026524,0.099310361,13.24975204,0.003395073,0.170331866,0.068006694,0.857666075,1476.890381,115.4906082,810.8972778,0.000602407,0.010049824,-14.99610043,-13.73446938,0.514837974,0.978192864
3.249787843,3.950157133,0.877064014,0.000808341,0.364511227,0.981842528,0.00258569,0.094323154,-3.060181695,7.8623202,0.000489071,4.78E-05,7.259213711,0.022082205,0.085798039,0.374433435,0.000605359,0.76256869,0.000210091,0.958717913,0.422939301,0.207471326,3.326141357,0.180933893,11.13561249,0.006122001,0.054842494,0.04673801,1.381304145,1516.279419,111.751915,790.617981,0.000525013,0.008919301,-14.96968079,-13.73446938,0.514837974,0.978192864
4.887143823,2.217404502,1.068419918,0.000744976,0.38433717,0.610905974,0.002055444,0.077672505,-1.011959177,7.719789175,0.000161186,0.000270187,7.45759673,-0.031912862,0.07868812,0.492886409,9.48E-05,0.684572434,0.000185592,0.966821901,0.372162819,1.928284883,2.659872293,0.294306129,8.004776001,0.00905537,0.684450924,0.076562628,1.070718765,1931.890991,139.9990234,779.6435547,0.000597837,0.011419732,-15.65616894,-13.73446938,0.514837974,0.978192864
4.148381637,3.941861581,0.883196263,0.00162751,0.40301662,0.56060713,0.00283232,0.092427035,-1.961142845,7.541569548,5.08E-05,0.000202466,7.313924414,-0.042591415,0.090094802,0.323667631,0.000208745,0.97591779,0.000192451,0.96988036,0.13017045,1.622885942,1.056332111,0.66702038,10.48662758,0.01018676,0.501201451,0.077387519,1.618944883,1401.174438,132.5535431,799.2711182,0.000546129,0.012293235,-15.24471855,-13.73446938,0.514837974,0.978192864
4.551324962,2.2119411,1.027340679,0.000786186,0.459745123,0.664457839,-0.000427382,0.13661443,-2.752017126,8.233879827,0.000344752,4.99E-05,7.338080526,-0.045084144,0.073164651,0.444383877,7.15E-05,0.634317741,0.000202144,0.920676416,0.318053842,0.542980254,4.098423958,0.346269518,13.2077179,0.004343859,0.388357043,0.073703811,1.228136063,1503.39209,51.79920959,816.3344727,0.000606722,0.010256861,-15.29911804,-13.73446938,0.514837974,0.978192864
4.069119729,3.249615763,0.928463011,0.000664585,0.417907461,0.868364246,-0.002934194,0.107654246,-0.772811037,7.486325953,0.000626392,0.0006098,7.275034204,-0.020860544,0.083616398,0.380692544,0.000474711,0.94217207,0.000164696,0.94919478,0.032199677,0.168913409,3.818720579,0.16809763,12.45053387,0.005410309,0.341761738,0.078487642,0.716832936,2113.226807,88.61443329,771.8851929,0.000601054,0.004589214,-15.55105972,-13.73446938,0.514837974,0.978192864
3.094590768,0.791521139,1.083500122,0.00075877,0.366610741,0.816435032,-0.001710617,0.118192748,-1.571337349,7.752929098,0.000485396,0.000323143,7.46902997,0.009753888,0.077386564,0.361540301,0.000361061,0.782191481,0.000221225,0.997953106,0.070861839,0.747360408,3.098068714,0.514416575,7.949261189,0.006391667,0.626694143,0.038815845,0.732959211,1281.789185,63.28979492,812.5308838,0.000738044,0.0083178,-16.10290337,-13.73446938,0.514837974,0.978192864
3.206009669,1.921049742,0.789240634,0.000692784,0.339365845,0.645887286,0.000482694,0.168880572,-1.658778083,8.005150435,0.000189787,0.000401452,7.432847923,-0.063564906,0.078947818,0.4711184,0.00013994,0.850760509,0.00022878,0.848664414,0.016331378,0.379187793,1.829709888,0.659019947,7.453540802,0.007092772,0.213790551,0.028133238,1.397874951,1752.757324,97.56838226,805.7076416,0.000613832,0.023889549,-14.39544487,-13.73446938,0.514837974,0.978192864
5.419672399,3.988689956,1.082193019,0.000407674,0.37105017,0.977581623,-7.95E-05,0.102431247,-0.331773995,7.291036098,0.000663758,0.000479755,7.225632871,-0.057967418,0.083611801,0.436374146,0.00020211,0.956037123,0.000235855,0.994648662,0.105191849,1.178960323,1.62939167,0.604239523,13.60068607,0.008273285,0.510367215,0.04681699,1.222769022,1263.305176,110.9756393,795.8901978,0.000626726,0.014557296,-15.36955738,-13.73446938,0.514837974,0.978192864
2.279258835,0.744670812,0.797229433,0.000403886,0.306423101,0.951873564,-0.000707382,0.21444158,-1.833330859,7.808032656,0.000734691,0.000187646,7.264971058,-0.054958934,0.081722313,0.392954715,0.000274935,0.9857771,0.000183119,0.845457876,0.546460688,1.232852101,1.755440116,0.061042652,10.21128654,0.006706623,0.928259909,0.066710703,1.288692713,1823.968628,99.95095825,783.5981445,0.000660103,0.006145728,-16.08493805,-13.73446938,0.514837974,0.978192864
2.445779419,1.588835803,0.699711575,0.000747819,0.467541823,0.643492891,-0.002788752,0.121604543,-0.858263377,7.532598798,0.000341925,0.000631871,7.381982468,-0.053019235,0.076174728,0.407197537,0.000296491,0.859877422,0.000216802,0.991726223,0.077126227,0.872554123,2.454209566,0.543937027,9.994847298,0.00441719,0.346955657,0.048381373,0.655258119,1427.004395,104.3950272,770.12146,0.000667659,0.016180485,-15.00454998,-13.73446938,0.514837974,0.978192864
2.773868835,1.849888508,0.965309043,0.000900406,0.421196,0.656051879,0.003019877,0.110830138,-3.524288203,8.528883691,0.000505038,2.74E-05,7.517669817,0.011624077,0.082202895,0.351349187,0.000247362,0.667984206,0.000238221,0.940915839,0.104508258,0.838669181,3.663224936,0.546824813,10.85690594,0.009007079,0.311745405,0.069455996,0.785092473,756.7946777,67.78792572,786.8049927,0.000617359,0.015060678,-15.0071249,-13.73446938,0.514837974,0.978192864
2.405561591,0.915945294,0.875076804,0.000893251,0.400083584,0.572967626,0.000546364,0.128279192,-3.47085116,7.996671736,0.000360969,2.74E-05,7.257898469,-0.024440949,0.072714136,0.387319431,0.000259163,0.770532398,0.000171721,0.889650974,0.653807342,1.531637311,3.678851128,0.178306878,13.53205395,0.013483396,1.044906974,0.053602081,1.316555858,896.7051392,94.3988266,787.0462646,0.000691369,0.014416006,-16.09979057,-13.73446938,0.514837974,0.978192864
5.097341633,3.239567614,0.991151681,0.000701136,0.478159736,0.708271769,0.000239775,0.081446059,-2.674650257,8.230679586,0.000499193,1.08E-05,7.190304927,-0.052081994,0.084257921,0.382663192,8.70E-05,0.983618238,0.00022185,0.924676428,0.030765325,1.508908868,2.50151062,0.152752936,8.103207588,0.007943504,0.080796719,0.04727469,0.618043661,1925.10083,132.5382996,794.0651855,0.000568505,0.008872983,-14.81948948,-13.73446938,0.514837974,0.978192864
4.287125506,3.087884447,1.07740999,0.0008181,0.300387397,0.785314066,-0.00329338,0.123215855,-3.695611041,8.413249122,0.000532629,1.81E-05,7.542107093,-0.006251643,0.095138586,0.376136798,0.000327934,0.718348596,0.00021054,0.895728278,0.737144351,0.172681794,3.456086636,0.275309503,9.310217857,0.007547483,0.528914392,0.063206017,1.412890315,1358.806396,94.5504303,772.9486694,0.000612022,0.017224306,-15.17321777,-13.73446938,0.514837974,0.978192864
1.698530932,0.26577992,0.722378074,0.000745699,0.464279996,0.991079915,-5.12E-05,0.249916808,-2.968727815,7.906635464,0.00032312,3.30E-05,7.456016785,-0.000297097,0.078168035,0.368011947,0.000368196,0.890419169,0.000223962,0.959985351,0.02906999,1.960863233,4.024124146,0.695975304,11.57374191,0.00518294,0.06271781,0.03120324,0.813894153,1225.972046,53.22062683,766.1372681,0.000530545,0.005889324,-15.79426765,-13.73446938,0.514837974,0.978192864
3.137759794,1.484198072,0.889742034,0.000800734,0.479694231,0.944771504,0.002096267,0.122323795,-3.746009403,8.616916691,0.000354048,9.51E-07,7.348616838,-0.024913963,0.068899357,0.340530141,5.36E-05,0.630545287,0.000227217,0.894568297,0.445146471,0.611998677,1.858013153,0.018428126,13.06032181,0.008190894,0.741241574,0.029716557,1.140984178,1334.172974,64.40596771,760.9589233,0.000704038,0.011717957,-15.71640015,-13.73446938,0.514837974,0.978192864
2.856774405,1.983833851,0.897381383,0.000456744,0.372396293,0.962328976,-0.000972685,0.152172896,-3.35788485,7.88278748,0.00018578,6.46E-05,7.206019386,-0.004301502,0.07641117,0.349650234,0.00015101,0.981760802,0.000219998,0.981145674,0.079455353,0.015006967,3.984913111,0.590670586,12.82500172,0.012474632,1.004760623,0.082608692,1.425276399,1489.614136,69.94198608,774.3463745,0.000646499,0.012549032,-15.49760342,-13.73446938,0.514837974,0.978192864
3.331462143,3.290334363,0.831510604,0.000806528,0.358878079,0.809616314,0.002748369,0.085541848,-3.626887577,8.614035961,0.000579,8.05E-06,7.508558822,-0.032327639,0.0724528,0.31563131,0.000340286,0.968087721,0.000196085,0.96884521,0.5916574,0.189084932,2.903135777,0.177024797,8.815731049,0.012547619,0.406000465,0.07310982,0.637895703,1547.597046,90.16969299,773.1814575,0.000648713,0.010271012,-14.82774162,-13.73446938,0.514837974,0.978192864
5.699858102,3.955508417,1.081588478,0.000739621,0.477677874,0.951353422,-0.001979286,0.110963037,-3.722942347,8.577338736,0.000486044,3.00E-05,7.352945269,-0.037640308,0.067300807,0.36313808,0.00014313,0.832604464,0.000189242,0.901747734,0.183343589,1.777374625,0.913584471,0.506347358,9.451001167,0.005345536,1.280449033,0.072946981,0.860584021,1631.125732,79.04496765,804.6876831,0.000674747,0.004440012,-15.94210625,-13.73446938,0.514837974,0.978192864
3.396144149,3.103738355,0.988378439,0.000893328,0.384337585,0.66788026,0.003758797,0.120232128,-1.00228433,7.441111751,0.000334483,0.00081701,7.190071914,-0.019894269,0.085128081,0.489097735,6.84E-05,0.798388627,0.000219957,0.967070146,0.956713915,0.117914647,3.898261786,0.072711028,7.2570014,0.005376458,0.330077261,0.071000434,0.694633543,1331.700806,71.22151947,772.5556641,0.000614628,0.011549816,-14.89878368,-13.73446938,0.514837974,0.978192864
3.083944545,2.156948915,0.941223623,0.000850425,0.313318278,0.947294971,-0.003094236,0.095782369,-1.255761333,7.480626098,0.000976272,8.46E-05,7.265559732,-0.006912578,0.076762755,0.309647104,0.000350654,0.766207532,0.000192895,0.928261079,0.228707626,1.020604372,3.197858095,0.434231669,10.68177986,0.003394258,1.111764431,0.082846671,1.544504642,1457.782471,104.8568878,784.664856,0.000615657,0.005692113,-16.35284042,-13.73446938,0.514837974,0.978192864
3.564853931,1.548429254,1.078044706,0.001093745,0.455777522,0.707329478,-0.000227678,0.135261295,-1.682425483,7.782306613,0.000366659,0.000189037,7.429460801,0.00830751,0.084346347,0.491998351,0.000498186,0.874726338,0.000214949,0.917659333,0.827019155,0.055440437,0.925144255,0.087841213,9.409257889,0.014728677,0.709136844,0.030263888,1.764984131,1047.10791,135.1431274,744.0392456,0.000652647,0.009966935,-15.81576633,-13.73446938,0.514837974,0.978192864
